2022-02-18T16-04-21,79107,AMARILLO PUBLIC HEALTH,02/16/2022 12:00:00 AM,,300,,
2022-05-29T05-31-58,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-06-02T07-54-10,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-06-03T08-50-11,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,524,05/26/2022 12:00:00 AM
2022-06-04T19-11-08,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,363,06/03/2022 12:00:00 AM
2022-06-10T04-15-36,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-15T04-15-27,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-16T04-15-45,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-17T04-15-27,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-18T04-15-18,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-19T04-15-29,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-20T04-15-58,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-21T04-15-35,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-22T04-15-20,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/09/2022 12:00:00 AM
2022-06-23T04-15-16,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-25T04-15-18,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-26T04-15-17,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-27T04-15-31,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-28T04-15-44,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-29T04-15-40,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-06-30T04-15-32,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-07-01T04-15-22,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-07-03T14-40-38,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-07-04T04-15-29,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
2022-07-05T04-15-18,79107,AMARILLO PUBLIC HEALTH,NLP,NLP,NLP,124,06/22/2022 12:00:00 AM
