2022-02-18T16-04-21,26847,GRANT MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-06-02T07-54-10,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-06T06-32-51,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-07T05-36-41,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-08T05-42-02,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-09T04-15-20,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-10T04-15-36,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-11T04-15-14,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,06/10/2022 12:00:00 AM
