2022-02-18T16-04-21,25130,Boone Memorial Hospital-Inpatient,02/15/2022 12:00:00 AM,,10,,
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,7,05/20/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-28T05-34-18,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-29T05-31-58,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-30T05-32-42,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-05-31T08-56-01,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,2,05/24/2022 12:00:00 AM
2022-06-01T05-37-50,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,11,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,11,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,25130,Boone Memorial Hospital-Inpatient,NLP,NLP,NLP,11,05/31/2022 12:00:00 AM
