2022-02-18T16-04-21,32610,UF HEALTH PHARMACY GNV,02/17/2022 12:00:00 AM,,5,,
2022-04-06T05-45-18,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,295,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,294,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,294,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,294,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,294,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,294,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,293,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,292,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,291,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,290,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,290,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,290,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,290,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,290,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,288,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,288,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,288,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,288,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,284,05/08/2022 12:00:00 AM
2022-05-10T06-06-54,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,284,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,283,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,283,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,282,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,282,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,281,05/14/2022 12:00:00 AM
2022-05-16T05-54-24,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,281,05/14/2022 12:00:00 AM
2022-05-17T05-27-38,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,280,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,280,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,212,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,209,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,206,05/28/2022 12:00:00 AM
2022-05-31T08-56-01,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,205,05/30/2022 12:00:00 AM
2022-06-01T05-37-50,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,205,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,205,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,205,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,204,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,202,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,198,06/06/2022 12:00:00 AM
2022-06-07T05-36-41,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,198,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,197,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,196,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,196,06/08/2022 12:00:00 AM
2022-06-11T04-15-14,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,194,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,191,06/11/2022 12:00:00 AM
2022-06-13T04-15-40,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,191,06/11/2022 12:00:00 AM
2022-06-14T04-15-16,32610,UF HEALTH PHARMACY GNV,NLP,NLP,NLP,190,06/14/2022 12:00:00 AM
