2022-02-18T16-04-21,15063,MONONGAHELA VALLEY HOSPITAL,02/16/2022 12:00:00 AM,,5,,
2022-05-16T05-54-24,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,68,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,68,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,68,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,68,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,68,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,15063,MONONGAHELA VALLEY HOSPITAL,NLP,NLP,NLP,71,05/20/2022 12:00:00 AM
