2022-02-18T16-04-21,39402,HATTIESBURG CLINIC,02/16/2022 12:00:00 AM,,15,,
2022-04-09T05-41-09,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-09T05-41-09,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-10T09-31-27,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-11T07-06-23,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-12T07-06-55,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-13T09-20-57,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-13T11-55-39,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-14T09-18-06,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-14T09-18-06,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-15T06-03-51,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-15T06-03-51,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-15T06-03-51,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-16T05-33-42,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-16T05-33-42,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-16T05-33-42,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-17T05-32-24,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-17T05-32-24,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-17T05-32-24,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-18T05-31-10,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-18T05-31-10,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-18T05-31-10,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-19T05-39-24,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-19T05-39-24,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-19T05-39-24,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-20T05-27-37,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-20T05-27-37,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-20T05-27-37,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-21T05-29-54,39402,Conx Care Clinic,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-21T05-29-54,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-21T05-29-54,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-22T05-26-18,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-22T05-26-18,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-23T05-25-10,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-23T05-25-10,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-24T05-22-24,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-24T05-22-24,39402,Merit Health Wesley,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-28T09-22-45,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-29T05-13-54,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-04-30T05-15-55,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-01T05-13-51,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-02T06-02-50,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-03T06-05-23,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-04T05-12-02,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-05T09-49-47,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-05T09-49-47,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-06T06-12-41,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-07T05-45-31,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-07T05-45-31,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-08T10-02-59,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-08T10-02-59,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-09T05-08-14,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-09T05-08-14,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-10T06-06-54,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-10T06-06-54,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-11T06-51-12,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-11T06-51-12,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-12T07-16-49,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-12T07-16-49,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-13T06-07-31,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-13T06-07-31,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-14T08-49-14,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-14T08-49-14,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-15T05-54-13,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-15T05-54-13,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-16T05-54-24,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-16T05-54-24,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-17T05-27-38,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-17T05-27-38,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-18T05-40-23,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-18T05-40-23,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-19T05-25-31,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-19T05-25-31,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-20T05-59-40,39402,HATTIESBURG CLINIC,NLP,NLP,NLP,36,03/03/2022 12:00:00 AM
2022-05-20T05-59-40,39402,Conx Care Clinic,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
