2022-02-18T16-04-21,49684,MUNSON MEDICAL CENTER,02/17/2022 12:00:00 AM,,25,0,02/17/2022 12:00:00 AM
2022-04-23T05-25-10,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,52,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-24T05-22-24,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,52,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-25T05-22-33,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-25T05-22-33,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,52,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-26T05-20-54,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,52,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,35,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,31,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,28,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,14,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,14,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,14,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,29,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,14,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-03T06-05-23,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,5,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,5,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,108,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,5,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,105,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,92,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,92,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,92,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,92,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,92,05/06/2022 12:00:00 AM
2022-05-12T07-16-49,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,80,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,12,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,67,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,67,05/14/2022 12:00:00 AM
2022-05-14T08-49-14,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,67,05/14/2022 12:00:00 AM
2022-05-16T05-54-24,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,67,05/14/2022 12:00:00 AM
2022-05-17T05-27-38,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,3,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,49,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,35,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,3,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,35,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,23,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,35,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,17,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,122,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,47,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,122,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,47,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,122,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,49684,COPPER RIDGE HEALTH dba NOVELLO INF,NLP,NLP,NLP,47,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,122,05/20/2022 12:00:00 AM
