2022-02-18T16-04-21,71269,RICHARDSON MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,,
2022-04-10T09-31-27,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-11T07-06-23,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-12T07-06-55,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-12T07-06-55,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-13T09-20-57,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-13T09-20-57,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-13T11-55-39,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-13T11-55-39,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-14T09-18-06,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-14T09-18-06,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-15T06-03-51,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-15T06-03-51,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-16T05-33-42,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-16T05-33-42,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-17T05-32-24,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-17T05-32-24,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-18T05-31-10,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-18T05-31-10,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-19T05-39-24,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-20T05-27-37,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,0,02/21/2022 12:00:00 AM
2022-04-20T05-27-37,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
2022-04-21T05-29-54,71269,"Guardian Health Clinic, LLC",NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,71269,RICHARDSON MEDICAL CENTER,NLP,NLP,NLP,15,03/09/2022 12:00:00 AM
