provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
WALGREENS STORE #09256,900 RUCKER BLVD,,Enterprise,Coffee,AL,36330,00069-1101-20,Renal Paxlovid,14,POINT (-85.829487 31.323397),1720093099,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04901,"1715 WOODWARD AVE.,",CVS Pharmacy,Muscle Shoals,Colbert,AL,35661,00069-1101-20,Renal Paxlovid,4,POINT (-87.66699 34.745305),1871696591,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #02557,1801 WOODWARD AVE,,Muscle Shoals,Colbert,AL,35661,00069-1101-20,Renal Paxlovid,3,POINT (-87.66721 34.74428),1811902182,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #07077,1204 DR. MLK EXPRESSWAY,CVS Pharmacy,Andalusia,Covington,AL,36420,00069-1101-20,Renal Paxlovid,5,POINT (-86.47705 31.31983),1902153232,2022-06-17T00:00:00.000,ACTIVE,
CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL DRIVE,,Luverne,Crenshaw,AL,36049,00069-1101-20,Renal Paxlovid,15,POINT (-86.26509 31.69335),1750480406,2022-06-16T00:00:00.000,ACTIVE,
CVS Store #04902,610 2ND AVENUE NW,CVS Pharmacy,Cullman,Cullman,AL,35055,00069-1101-20,Renal Paxlovid,5,POINT (-86.84801 34.18239),1962505685,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #10416,1906 CHEROKEE AVE SW,CVS Pharmacy,Cullman,Cullman,AL,35055,00069-1101-20,Renal Paxlovid,5,POINT (-86.84444 34.150865),1851711386,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04960,303 NORTH MAIN ST.,CVS Pharmacy,Hanceville,Cullman,AL,35077,00069-1101-20,Renal Paxlovid,5,POINT (-86.76566 34.05646),1124121868,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04853,520 HIGHLAND AVE,CVS Pharmacy,Selma,Dallas,AL,36703,00069-1101-20,Renal Paxlovid,5,POINT (-87.02983 32.43115),1053414789,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04909,3680 HWY 14,CVS Pharmacy,Millbrook,Elmore,AL,36054,00069-1101-20,Renal Paxlovid,4,POINT (-86.37607 32.51581),1952404675,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04943,10 GILMER AVE.,CVS Pharmacy,Tallassee,Elmore,AL,36078,00069-1101-20,Renal Paxlovid,5,POINT (-85.898665 32.53756),1598868234,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04865,763 WILSON ST.,CVS Pharmacy,Wetumpka,Elmore,AL,36092,00069-1101-20,Renal Paxlovid,5,POINT (-86.20536 32.52767),1134222862,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04972,315 THIRD STREET NW,CVS Pharmacy,Attalla,Etowah,AL,35954,00069-1101-20,Renal Paxlovid,5,POINT (-86.08939 34.02052),1679676316,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04845,806 HOKE ST.,CVS Pharmacy,Gadsden,Etowah,AL,35903,00069-1101-20,Renal Paxlovid,4,POINT (-85.969775 34.00336),1154424885,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04849,2608 W. MEIGHAN BLVD,CVS Pharmacy,Gadsden,Etowah,AL,35904,00069-1101-20,Renal Paxlovid,5,POINT (-86.04499 34.022415),1699878322,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07717,107 E MEIGHAN BLVD,,Gadsden,Etowah,AL,35903,00069-1101-20,Renal Paxlovid,5,POINT (-85.99178 34.01083),1154336410,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07716,3434 RAINBOW DR,,Rainbow City,Etowah,AL,35906,00069-1101-20,Renal Paxlovid,4,POINT (-86.04088 33.95498),1336154699,2022-06-17T00:00:00.000,ACTIVE,
FAMILY PHARMACY OF RUSSELLVILLE,455 UNDERWOOD ROAD,,Russellville,Franklin,AL,35653,00069-1101-20,Renal Paxlovid,10,POINT (-87.730551 34.650573),1134454150,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04878,1955 EAST MAIN STREET,CVS Pharmacy,Dothan,Houston,AL,36301,00069-1101-20,Renal Paxlovid,4,POINT (-85.361805 31.21721),1760585491,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04919,1270 WEST MAIN STREET,CVS Pharmacy,Dothan,Houston,AL,36301,00069-1101-20,Renal Paxlovid,3,POINT (-85.40856 31.22657),1801999321,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07404,2041 E MAIN ST,,Dothan,Houston,AL,36301,00069-1101-20,Renal Paxlovid,3,POINT (-85.360235 31.21577),1609881960,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04830,"901 9TH AVENUE, N",CVS Pharmacy,Bessemer,Jefferson,AL,35020,00069-1101-20,Renal Paxlovid,7,POINT (-86.969555 33.395255),1326141144,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04825,220 GADSDEN HIGHWAY,CVS Pharmacy,Birmingham,Jefferson,AL,35235,00069-1101-20,Renal Paxlovid,5,POINT (-86.6966 33.589095),1881797603,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04871,632 TUSCALOOSA AVENUE,CVS Pharmacy,Birmingham,Jefferson,AL,35211,00069-1101-20,Renal Paxlovid,8,POINT (-86.84252 33.50023),1689777310,2022-06-17T00:00:00.000,ACTIVE,
THE KIRKLIN CLINIC PHARMACY,2000 6TH AVENUE SOUTH,2nd Floor Pharmacy,Birmingham,Jefferson,AL,35233,00069-1101-20,Renal Paxlovid,17,POINT (-86.800285 33.50794),1922105766,2022-06-16T00:00:00.000,ACTIVE,
UAB HIGHLANDS APOTHECARY,1201 11TH AVENUE SOUTH,3rd Floor Pharmacy,Birmingham,Jefferson,AL,35205,00069-1101-20,Renal Paxlovid,18,POINT (-86.806385 33.49484),1346307733,2022-06-16T00:00:00.000,ACTIVE,
UAB SPECIALTY PHARMACY,601 19TH STREET SOUTH,4TH FLOOR QUARTERBACK TOWER,Birmingham,Jefferson,AL,35249,00069-1101-20,Renal Paxlovid,20,POINT (-86.89577 33.51228),1437253168,2022-06-16T00:00:00.000,ACTIVE,
UNIVERSITY MEDICAL CENTER PHARMACY,3220 5TH AVE SOUTH,PHARMACY ROOM 2302,Birmingham,Jefferson,AL,35222,00069-1101-20,Renal Paxlovid,95,POINT (-86.78431 33.5164),1013014851,2022-06-15T00:00:00.000,ACTIVE,
WALGREENS STORE #04846,2301 CENTER POINT PKWY,,Birmingham,Jefferson,AL,35215,00069-1101-20,Renal Paxlovid,20,POINT (-86.68328 33.64634),1639184997,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06034,101 GREEN SPRINGS HWY,,Birmingham,Jefferson,AL,35209,00069-1101-20,Renal Paxlovid,5,POINT (-86.82369 33.470635),1629083985,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06035,2101 RICHARD ARRINGTON JR BLVD S,,Birmingham,Jefferson,AL,35209,00069-1101-20,Renal Paxlovid,5,POINT (-86.792425 33.48852),1972519353,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07245,668 LOMB AVE SW,,Birmingham,Jefferson,AL,35211,00069-1101-20,Renal Paxlovid,10,POINT (-86.844955 33.500355),1790790053,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04912,2000 CENTER POINT PKWY,CVS Pharmacy,Center Point,Jefferson,AL,35215,00069-1101-20,Renal Paxlovid,14,POINT (-86.68411 33.638685),1861595589,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06488,100 FIELDSTOWN RD,,Gardendale,Jefferson,AL,35071,00069-1101-20,Renal Paxlovid,4,POINT (-86.81077 33.65144),1619982972,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04829,418 WEST VALLEY AVE,CVS Pharmacy,Homewood,Jefferson,AL,35209,00069-1101-20,Renal Paxlovid,5,POINT (-86.82518 33.47116),1699878413,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #05072,2505 JOHN HAWKINS PKWY,,Hoover,Jefferson,AL,35244,00069-1101-20,Renal Paxlovid,5,POINT (-86.84612 33.35508),1548275803,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06977,1560 MONTCLAIR RD,,Irondale,Jefferson,AL,35210,00069-1101-20,Renal Paxlovid,2,POINT (-86.72328 33.52548),1164437422,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04832,604 BESSEMER SUPER HWY.,CVS Pharmacy,Midfield,Jefferson,AL,35228,00069-1101-20,Renal Paxlovid,5,POINT (-86.92258 33.45269),1407959125,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04926,6665 HWY 75,CVS Pharmacy,Pinson,Jefferson,AL,35126,00069-1101-20,Renal Paxlovid,5,POINT (-86.67875 33.69672),1326141060,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04855,1100 MONTGOMERY HWY.,CVS Pharmacy,Vestavia Hills,Jefferson,AL,35216,00069-1101-20,Renal Paxlovid,4,POINT (-86.789335 33.43705),1326141052,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04817,1501 FLORENCE BLVD,CVS Pharmacy,Florence,Lauderdale,AL,35630,00069-1101-20,Renal Paxlovid,56,POINT (-87.65573 34.82067),1053414870,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04925,1002 COX CREEK PKWY.,CVS Pharmacy,Florence,Lauderdale,AL,35633,00069-1101-20,Renal Paxlovid,5,POINT (-87.68878 34.84017),1508969247,2022-06-17T00:00:00.000,ACTIVE,
HAMILTON FAMILY URGENT CARE,3500 CLOVERDALE ROAD,3500 CLOVERDALE ROAD,Florence,Lauderdale,AL,35633,00069-1101-20,Renal Paxlovid,5,POINT (-87.690695 34.85265),1205484326,2022-06-16T00:00:00.000,ACTIVE,
EAST ALABAMA APOTHECARY LLC 4,900 CAMP AUBURN RD,SUITE P101,Auburn,Lee,AL,36832,00069-1101-20,Renal Paxlovid,3,POINT (-85.499818 32.584635),1356931364,2022-06-16T00:00:00.000,ACTIVE,
CVS Store #04949,1997 PEPPERELL PKWY.,CVS Pharmacy,Opelika,Lee,AL,36801,00069-1101-20,Renal Paxlovid,5,POINT (-85.40352 32.63758),1043313786,2022-06-17T00:00:00.000,ACTIVE,
"East Alabama Apothecary, LLC","2000 Pepperell Parkway, Suite 292",,Opelika,Lee,AL,36801,00069-1101-20,Renal Paxlovid,4,POINT (-85.40341 32.64037),1215089305,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #10516,5859 HIGHWAY 53,CVS Pharmacy,Harvest,Madison,AL,35749,00069-1101-20,Renal Paxlovid,5,POINT (-86.71251 34.84546),1811304868,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #02748,930 WINCHESTER RD.,CVS Pharmacy,Huntsville,Madison,AL,35811,00069-1101-20,Renal Paxlovid,5,POINT (-86.536843 34.79733),1336243211,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04908,2525 OAKWOOD AVE,CVS Pharmacy,Huntsville,Madison,AL,35810,00069-1101-20,Renal Paxlovid,5,POINT (-86.60875 34.74936),1043313760,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #05413,2210 WINCHESTER RD.,CVS Pharmacy,Huntsville,Madison,AL,35811,00069-1101-20,Renal Paxlovid,5,POINT (-86.4921 34.81691),1518298884,2022-06-17T00:00:00.000,ACTIVE,
MED MALL PHARMACY,1963 MEMORIAL PARKWAY SW STE 14,,Huntsville,Madison,AL,35801,00069-1101-20,Renal Paxlovid,3,POINT (-86.591848 34.72163),1578984795,2022-06-17T00:00:00.000,ACTIVE,
Omnicare of Huntsville #48201,6767 Old Madison Pike,Progress Center Suite 220,Huntsville,Madison,AL,35806,00069-1101-20,Renal Paxlovid,5,POINT (-86.67598 34.71311),1811923444,2022-06-17T00:00:00.000,ACTIVE,
SPARKMAN PHARMACY- FRANKLIN,807 Franklin St,,Huntsville,Madison,AL,35801,00069-1101-20,Renal Paxlovid,5,POINT (-86.577885 34.722395),1750839668,2022-06-16T00:00:00.000,ACTIVE,
SYNERGY WELLNESS,7105 BAILEY CREEK CIR,Suite B,Huntsville,Madison,AL,35802,00069-1101-20,Renal Paxlovid,42,POINT (-86.537611 34.673515),,2022-06-20T00:00:00.000,ACTIVE,
WALGREENS STORE #06430,2100 BRANDON ST SW,,Huntsville,Madison,AL,35801,00069-1101-20,Renal Paxlovid,5,POINT (-86.579197 34.718095),1700891066,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06431,3997 UNIVERSITY DR NW,,Huntsville,Madison,AL,35816,00069-1101-20,Renal Paxlovid,10,POINT (-86.62632 34.73448),1174538433,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06464,3120 BOB WALLACE AVE SW,,Huntsville,Madison,AL,35805,00069-1101-20,Renal Paxlovid,5,POINT (-86.608517 34.71209),1083629349,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06956,3500 MASTIN LAKE RD NW,,Huntsville,Madison,AL,35810,00069-1101-20,Renal Paxlovid,10,POINT (-86.616202 34.77186),1346255601,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06979,2784 CARL T JONES DR SE,,Huntsville,Madison,AL,35802,00069-1101-20,Renal Paxlovid,4,POINT (-86.54017 34.672405),1982619243,2022-06-17T00:00:00.000,ACTIVE,
MADISON HEALTH MART PHARMACY,8498 MADISON BLVD SUITE A,,Madison,Madison,AL,35758,00069-1101-20,Renal Paxlovid,6,POINT (-86.736687 34.683355),1588077325,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #02363,7813 HIGHWAY 72 W,,Madison,Madison,AL,35758,00069-1101-20,Renal Paxlovid,4,POINT (-86.74345 34.75158),1376558643,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04957,312 HWY 80 EAST,CVS Pharmacy,Demopolis,Marengo,AL,36732,00069-1101-20,Renal Paxlovid,5,POINT (-87.83711 32.50096),1770686412,2022-06-17T00:00:00.000,ACTIVE,
BRINDLEYS FAMILY PHARMACY,209 Sand Mountain Drive East,Suite 100,Albertville,Marshall,AL,35950,00069-1101-20,Renal Paxlovid,5,POINT (-86.21061 34.27008),,2022-06-09T00:00:00.000,ACTIVE,
CVS Store #04941,1204 N. BRINDLEE MOUNTAIN PKWY.,CVS Pharmacy,Arab,Marshall,AL,35016,00069-1101-20,Renal Paxlovid,3,POINT (-86.50187 34.32803),1780787424,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04782,10115 GRAND BAY WILMER RD. SOUTH,CVS Pharmacy,Grand Bay,Mobile,AL,36541,00069-1101-20,Renal Paxlovid,5,POINT (-88.33886 30.48042),1972607851,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #02567,7081 AIRPORT RD,CVS Pharmacy,Mobile,Mobile,AL,36608,00069-1101-20,Renal Paxlovid,5,POINT (-88.20579 30.685),1427152305,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04877,2280 MLK BLVD.,CVS Pharmacy,Mobile,Mobile,AL,36610,00069-1101-20,Renal Paxlovid,10,POINT (-88.07903 30.73082),1942303672,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04903,3100 DAUPHIN ISLAND PKWY,CVS Pharmacy,Mobile,Mobile,AL,36605,00069-1101-20,Renal Paxlovid,5,POINT (-88.075845 30.60803),1326141045,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #11016,4645 AIRPORT BLVD,CVS Pharmacy,Mobile,Mobile,AL,36608,00069-1101-20,Renal Paxlovid,5,POINT (-88.16767 30.67586),1003388067,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #01777,3948 AIRPORT BLVD,,Mobile,Mobile,AL,36608,00069-1101-20,Renal Paxlovid,15,POINT (-88.147965 30.676555),1093720369,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #05151,5705 COTTAGE HILL RD,,Mobile,Mobile,AL,36609,00069-1101-20,Renal Paxlovid,15,POINT (-88.17515 30.64341),1366457624,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #05176,2490 SCHILLINGER RD S,,Mobile,Mobile,AL,36695,00069-1101-20,Renal Paxlovid,4,POINT (-88.22542 30.64056),1447265707,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06085,5530 THREE NOTCH RD,,Mobile,Mobile,AL,36619,00069-1101-20,Renal Paxlovid,10,POINT (-88.170635 30.58993),1710992078,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06507,1320 GOVERNMENT ST,,Mobile,Mobile,AL,36604,00069-1101-20,Renal Paxlovid,3,POINT (-88.06766 30.68252),1265447528,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06639,370 SCHILLINGER RD S,,Mobile,Mobile,AL,36695,00069-1101-20,Renal Paxlovid,5,POINT (-88.22602 30.6823),1497761142,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07962,12 SHELTON BEACH RD,,Saraland,Mobile,AL,36571,00069-1101-20,Renal Paxlovid,4,POINT (-88.07125 30.8244),1124033493,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #03095,6891 VAUGHN ROAD,CVS Pharmacy,Montgomery,Montgomery,AL,36116,00069-1101-20,Renal Paxlovid,5,POINT (-86.19757 32.33972),1174627145,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04856,3190 ZELDA RD.,CVS Pharmacy,Montgomery,Montgomery,AL,36106,00069-1101-20,Renal Paxlovid,10,POINT (-86.264055 32.35284),1144323874,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04895,3000 ROSA L. PARKS AVE.,CVS Pharmacy,Montgomery,Montgomery,AL,36105,00069-1101-20,Renal Paxlovid,5,POINT (-86.31712 32.351275),1699878314,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04906,4240 NARROW LANE ROAD,CVS Pharmacy,Montgomery,Montgomery,AL,36111,00069-1101-20,Renal Paxlovid,3,POINT (-86.282535 32.32754),1225131949,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04947,4790 MOBILE HWY,CVS Pharmacy,Montgomery,Montgomery,AL,36108,00069-1101-20,Renal Paxlovid,3,POINT (-86.35061 32.30858),1134222870,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04970,1525 FOREST AVENUE,CVS Pharmacy,Montgomery,Montgomery,AL,36106,00069-1101-20,Renal Paxlovid,5,POINT (-86.28588 32.36387),1063515583,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #07063,55 RAY THORINGTON RD.,CVS Pharmacy,Montgomery,Montgomery,AL,36117,00069-1101-20,Renal Paxlovid,5,POINT (-86.16162 32.33807),1417051392,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #02203,3892 ATLANTA HWY,,Montgomery,Montgomery,AL,36109,00069-1101-20,Renal Paxlovid,2,POINT (-86.24676 32.38256),1467467738,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06843,2281 E SOUTH BLVD,,Montgomery,Montgomery,AL,36116,00069-1101-20,Renal Paxlovid,4,POINT (-86.265765 32.32773),1255346516,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07746,6680 ATLANTA HWY,,Montgomery,Montgomery,AL,36117,00069-1101-20,Renal Paxlovid,3,POINT (-86.180805 32.381735),1215942586,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04844,812 BELTLINE RD,CVS Pharmacy,Decatur,Morgan,AL,35601,00069-1101-20,Renal Paxlovid,5,POINT (-86.999674 34.560755),1962505784,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #02589,1718 BELTLINE RD SW,,Decatur,Morgan,AL,35601,00069-1101-20,Renal Paxlovid,19,POINT (-87.013454 34.571635),1285649558,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04946,"113 3RD ST, SE",CVS Pharmacy,Aliceville,Pickens,AL,35442,00069-1101-20,Renal Paxlovid,5,POINT (-88.14861 33.12665),1225131964,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #01824,5405 SUMMERVILLE RD,CVS Pharmacy,Phenix City,Russell,AL,36867,00069-1101-20,Renal Paxlovid,5,POINT (-85.02923 32.51988),1144324021,2022-06-17T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS ST CLAIR,7063 VETERANS PKWY,,Pell City,Saint Clair,AL,35125,00069-1101-20,Renal Paxlovid,15,POINT (-86.301425 33.60453),,2022-06-16T00:00:00.000,ACTIVE,
