Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
Walmart Pharmacy #1174,34301 Highway 43,,Thomasville,CLARKE,AL,36784,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,19,02/02/2022 12:00:00 AM,,1366469652
Zufall Health Center,18 W Blackwell St,,Dover,MORRIS,NJ,07801,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/28/2022 12:00:00 AM,80,67,02/01/2022 12:00:00 AM,POINT (-74.559759 40.884061),
17225-FARMACIA HEIDI,CALLE COLON # 260,,AGUADA,Aguada,PR,00602,0006-5055-06,Molnupiravir,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,60,59,01/27/2022 12:00:00 AM,,1932252770
LaGrange Pharmacy,111 W 4th Street,,Vinton,BENTON,IA,52349,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,60,,,POINT (-92.024942 42.167697),1831271998
Walgreens Store #01829,80 CARRETERA 308,,CABO ROJO,Cabo Rojo,PR,00623,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,37,02/03/2022 12:00:00 AM,,1174839450
Walmart Pharmacy #425,10675 Highway 5,,Brent,BIBB,AL,35034,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,3,02/02/2022 12:00:00 AM,,1497773816
YVFWC  TOPPENISH,510 W 1st Ave,,Toppenish,YAKIMA,WA,98948,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,,,POINT (-120.316496 46.375074),
SAINT AGNES HOSPITAL,900 SOUTH CATON AVENUE,,BALTIMORE,BALTIMORE CITY,MD,21229,0310-7442-02,Evusheld,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,240,169,02/03/2022 12:00:00 AM,POINT (-76.670584 39.272215),
Weed Army Community Hospital,North Loop Rd.,Bldg 390,Fort Irwin,SAN BERNARDINO,CA,92310,0069-1085-30,Paxlovid,01/19/2022 12:00:00 AM,01/24/2022 12:00:00 AM,20,,,,
Walmart Pharmacy #1036,197 PLAZA DR,,FOREST CITY,RUTHERFORD,NC,28043,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,40,,,POINT (-81.896584 35.335219),1255358495
Walmart Pharmacy #952,641 VETERANS PKWY S,,MOULTRIE,COLQUITT,GA,31788,0006-5055-06,Molnupiravir,02/02/2022 12:00:00 AM,,200,,,POINT (-83.761517 31.169893),1932126349
Capital Regional RX LLC,431 New Karner Road,BLD 4 SUIT 180,Albany,ALBANY,NY,12205,0006-5055-06,Molnupiravir,01/29/2022 12:00:00 AM,,40,,,POINT (-73.843575 42.738733),
CHRISTIANA CARE PHARMACY NEWARK,4755 STANTON OGLETOWN RD,,NEWARK,NEW CASTLE,DE,19718,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,,,,
OCEAN PARK PHARMACY,1501 BAY AVE,,OCEAN PARK,PACIFIC,WA,98640,0006-5055-06,Molnupiravir,01/31/2022 12:00:00 AM,,20,,,,
Mobile Medical US Corp.,114 Remington Dr.,,Evanston,UINTA,WY,82930,0310-7442-02,Evusheld,02/02/2022 12:00:00 AM,,24,,,POINT (-111.010967 41.397407),
Walgreens Store #00677,5800 AVE JESUS T PINERO,,CAYEY,Cayey,PR,00736,0069-1085-30,Paxlovid,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,40,37,02/03/2022 12:00:00 AM,,1164437216
Rite Aid 00293,599 YORK ROAD,,WARMINSTER,BUCKS,PA,18974-4518,0006-5055-06,Molnupiravir,02/02/2022 12:00:00 AM,,40,,,POINT (-75.099963 40.205666),
Walmart Pharmacy #2089,21531 Market Center,,Bristol,BRISTOL,VA,24202,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,19,02/02/2022 12:00:00 AM,,1710904818
CVS Store #00831,935 RIDGE ROAD,CVS Pharmacy,WEBSTER,MONROE,NY,14580,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,40,17,02/03/2022 12:00:00 AM,,1679677348
V20 653BY Eugene (CBOC),3355 CHAD DRIVE,attention Pharmacy,EUGENE,LANE,OR,97408,0310-7442-02,Evusheld,01/31/2022 12:00:00 AM,,24,,,POINT (-123.051331 44.087035),
KINDRED HOSPITAL RANCHO,10841 WHITE OAK AVE,,RANCHO CUCAMONGA,SAN BERNARDINO,CA,91730,0006-5055-06,Molnupiravir,01/10/2022 12:00:00 AM,01/13/2022 12:00:00 AM,60,60,01/28/2022 12:00:00 AM,POINT (-117.56643 34.104709),
NEW CASTLE RX,263 QUIGLEY BLVD,1B,NEW CASTLE,NEW CASTLE,DE,19720,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,200,,,POINT (-75.604044 39.662533),
CAPE COD HOSPITAL,27 PARK ST,,HYANNIS,BARNSTABLE,MA,02601,0310-7442-02,Evusheld,01/13/2022 12:00:00 AM,01/19/2022 12:00:00 AM,192,140,02/03/2022 12:00:00 AM,POINT (-70.273239 41.654288),
RICES PHARMACY,910 NW KINGS BLVD,,CORVALLIS,BENTON,OR,97330-2505,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,20,,,POINT (-123.275257 44.576129),
MAURY REGIONAL CANCER CENTER,808 South Campbell Blvd,Pharmacy,Columbia,MAURY,TN,38401,0310-7442-02,Evusheld,01/17/2022 12:00:00 AM,01/20/2022 12:00:00 AM,528,517,02/02/2022 12:00:00 AM,,
UPSTATE UNIVERSITY HOSPITAL AT COMM,4900 Broad Road,,Syracuse,ONONDAGA,NY,13215,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,01/11/2022 12:00:00 AM,72,71,01/31/2022 12:00:00 AM,POINT (-76.170281 43.008677),
Walmart Pharmacy #224,110 Davidson Rd,,Mount Vernon,JEFFERSON,IL,62864,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,100,58,02/02/2022 12:00:00 AM,POINT (-88.960337 38.312296),1700803079
FAMILY PHARMACY OF LOUISBURG,339 SOUTH BICKETT BLVD,,LOUISBURG,FRANKLIN,NC,27549,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,100,83,01/27/2022 12:00:00 AM,POINT (-78.30209 36.088184),1477860930
MERCY MEDICAL CENTER,271 CAREW ST,Inpatient PHARMACY,SPRINGFIELD,HAMPDEN,MA,01104-0000,0310-7442-02,Evusheld,01/28/2022 12:00:00 AM,,72,72,02/03/2022 12:00:00 AM,POINT (-72.595607 42.115296),
Walgreens Store #09675,6201 SALTSBURG RD,,PITTSBURGH,ALLEGHENY,PA,15235,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,60,59,02/03/2022 12:00:00 AM,POINT (-79.81704 40.484801),1861447724
OSF HEALTHCARE,5901 W War Memorial Drive,,Peoria,PEORIA,IL,61615,0310-7442-02,Evusheld,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,696,504,02/02/2022 12:00:00 AM,POINT (-89.687071 40.779748),1477671592
Apothecary - Houghton,600 MacInnes Dr,Ste 102,Houghton,HOUGHTON,MI,49930,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/02/2022 12:00:00 AM,20,20,02/03/2022 12:00:00 AM,POINT (-88.545763 47.113659),1114972270
Walmart Pharmacy #1523,11400 W Broad Street Rd,,Glen Allen,HENRICO,VA,23060,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,20,02/02/2022 12:00:00 AM,POINT (-77.608873 37.650889),1407873607
CVS Store #08897,3361 MARKET ST.,CVS Pharmacy,RIVERSIDE,RIVERSIDE,CA,92501,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/02/2022 12:00:00 AM,60,60,02/03/2022 12:00:00 AM,POINT (-117.372769 33.986896),1174658330
HAGGEN PHARMACY,2900 WOBURN ST,,Bellingham,WHATCOM,WA,98226,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/17/2022 12:00:00 AM,120,114,02/03/2022 12:00:00 AM,POINT (-122.445331 48.768145),1609221035
Walmart Pharmacy #5116,9025 Spencer Hwy,,La Porte,HARRIS,TX,77571,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/31/2022 12:00:00 AM,40,38,02/02/2022 12:00:00 AM,POINT (-95.099765 29.664087),1013934165
Center for Family Health and Educat,8727 Van Nuys Boulevard,,Panorama City,LOS ANGELES,CA,91402,0006-5055-06,Molnupiravir,01/31/2022 12:00:00 AM,02/02/2022 12:00:00 AM,740,440,02/02/2022 12:00:00 AM,POINT (-118.450279 34.228353),1871853481
KELSEY-SEYBOLD INFUSION PHARMACY,15655 CYPRESSWOODS MEDICAL DR,STE 420,HOUSTON,HARRIS,TX,77014,0310-7442-02,Evusheld,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,288,48,01/26/2022 12:00:00 AM,POINT (-95.471493 30.000881),
Rite Aid 05958,1500 NORTHGATE MALL,,SAN RAFAEL,MARIN,CA,94903-3671,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,19,02/03/2022 12:00:00 AM,POINT (-122.544357 38.003756),
Walmart Pharmacy #154,16032 15 Mile Blvd,,Abingdon,WASHINGTON,VA,24211,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,20,02/02/2022 12:00:00 AM,POINT (-81.92846 36.71451),1396291647
Walgreens Store #18976,110 BOLIVAR RD,,WELLSVILLE,ALLEGANY,NY,14895,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,60,58,02/03/2022 12:00:00 AM,POINT (-77.96306 42.127628),1619491552
Realo Drugs,"15441 US HWY 17, Suite 801",,Hampstead,PENDER,NC,28443,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,01/31/2022 12:00:00 AM,40,38,02/01/2022 12:00:00 AM,POINT (-77.700668 34.376585),
Rite Aid 11106,600 LINCOLN HIGHWAY,,FAIRLESS HILLS,BUCKS,PA,19030-1400,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/18/2022 12:00:00 AM,240,221,02/03/2022 12:00:00 AM,POINT (-74.830448 40.190887),
Walgreens Store #12779,578 NEW LEICESTER HWY,,ASHEVILLE,BUNCOMBE,NC,28806,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,20,20,02/03/2022 12:00:00 AM,POINT (-82.63164 35.613072),1023247426
SAFEWAY PHARMACY,101 Auburn Way S,,Auburn,KING,WA,98002,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,01/08/2022 12:00:00 AM,20,19,02/03/2022 12:00:00 AM,POINT (-122.225803 47.306378),1063458669
ASCENSION SETON EDGAR B DAVIS HOSP,130 HAYS ST,,LULING,CALDWELL,TX,78648,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/19/2022 12:00:00 AM,96,72,02/03/2022 12:00:00 AM,POINT (-97.654253 29.67253),
Walmart Pharmacy #4216,2025 Merchant Mile,,Columbus,BARTHOLOMEW,IN,47201,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/02/2022 12:00:00 AM,120,8,02/02/2022 12:00:00 AM,POINT (-85.945922 39.197875),1578576203
Walgreens Store #07930,1401 W PIERCE ST,,CARLSBAD,EDDY,NM,88220,0006-5055-06,Molnupiravir,01/18/2022 12:00:00 AM,01/20/2022 12:00:00 AM,40,40,02/03/2022 12:00:00 AM,POINT (-104.245429 32.436066),1174538078
Walmart Pharmacy #6943,2811 Creek Dr,,Jonesboro,CRAIGHEAD,AR,72401,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,20,02/02/2022 12:00:00 AM,POINT (-90.67095 35.82625),1972907582
Walmart Pharmacy #368,3201 N 16th St,,Parsons,LABETTE,KS,67357,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,02/02/2022 12:00:00 AM,20,,,POINT (-95.258426 37.372238),1740207166
GROVER C. DILS MEDICAL CENTER,700 N SPRING ST,,CALIENTE,LINCOLN,NV,89008,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,20,18,02/02/2022 12:00:00 AM,POINT (-114.511827 37.622396),
Peoples Drug Store,255 NC Hwy 16S,,Taylorsville,ALEXANDER,NC,28681,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,01/12/2022 12:00:00 AM,24,17,02/01/2022 12:00:00 AM,POINT (-81.177925 35.918469),
The Golub Corporation,1510 SOUTH MAIN AVENUE,PRICE CHOPPER PHARMACY 169,TAYLOR,LACKAWANNA,PA,18504,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,42,02/03/2022 12:00:00 AM,POINT (-75.689785 41.394712),
CAMC MEMORIAL HOSPITAL,3200 MacCORKLE AVENUE SE,INPATIENT PHARMACY,CHARLESTON,KANAWHA,WV,25304,0310-7442-02,Evusheld,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,240,166,02/03/2022 12:00:00 AM,POINT (-81.603015 38.328692),
Cape Fear Long Term Care Pharmacy,185 Pine State Street,,Lillington,HARNETT,NC,27546,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/17/2022 12:00:00 AM,80,,,POINT (-78.804443 35.422204),1972940377
Walgreens Store #04982,7401 READ BLVD,,NEW ORLEANS,ORLEANS,LA,70127,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,80,02/03/2022 12:00:00 AM,POINT (-89.98029 30.043717),1629084108
SAFEWAY PHARMACY,7300 ROOSEVELT WAY NE,,Seattle,KING,WA,98115,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/17/2022 12:00:00 AM,20,20,02/03/2022 12:00:00 AM,POINT (-122.31749 47.681901),1093744013
Walmart Pharmacy #1142,1618 W Mcclain Ave,,Scottsburg,SCOTT,IN,47170,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,01/19/2022 12:00:00 AM,80,55,02/02/2022 12:00:00 AM,POINT (-85.795507 38.684991),1477570778
CVS Store #00417,885 CENTRAL AVE.,CVS Pharmacy,ALBANY,ALBANY,NY,12206,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,180,168,02/03/2022 12:00:00 AM,POINT (-73.790241 42.680263),1053419762
TEXAS ONCOLOGY FLOWER MOUND,4370 MEDICAL ARTS DRIVE,Suite 100,FLOWER MOUND,DENTON,TX,75028,0310-7442-02,Evusheld,01/23/2022 12:00:00 AM,01/27/2022 12:00:00 AM,24,43,01/27/2022 12:00:00 AM,POINT (-97.067429 33.045871),1821010083
SANTA CLARA VALLEY MEDICAL CENTER -,751 S BASCOM AVE,,SAN JOSE,SANTA CLARA,CA,95128,0310-7442-02,Evusheld,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,192,171,02/03/2022 12:00:00 AM,POINT (-121.931903 37.314046),
CRYSTAL PHARMACY,2809 Olive Hwy,Ste 160,Oroville,BUTTE,CA,95966,0006-5055-06,Molnupiravir,02/01/2022 12:00:00 AM,01/25/2022 12:00:00 AM,60,60,02/02/2022 12:00:00 AM,POINT (-121.541076 39.503883),1174677827
ALTA BATES SUMMIT MEDICAL CENTER,2450 ASHBY AVENUE,,BERKELEY,ALAMEDA,CA,94705,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,30,02/03/2022 12:00:00 AM,POINT (-122.257994 37.856408),1639523004
CVS Store #09341,1540 E HIGHLAND AVE,CVS Pharmacy,SAN BERNARDINO,SAN BERNARDINO,CA,92404,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,80,34,02/03/2022 12:00:00 AM,POINT (-117.25355 34.135855),1295778033
LADY OF THE SEA COMMUNITY PHARM #2,13086 Highway 3235,,Larose,LAFOURCHE,LA,70373,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/20/2022 12:00:00 AM,20,19,02/03/2022 12:00:00 AM,POINT (-90.378444 29.561747),
CVS Store #09341,1540 E HIGHLAND AVE,CVS Pharmacy,SAN BERNARDINO,SAN BERNARDINO,CA,92404,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,320,237,02/03/2022 12:00:00 AM,POINT (-117.25355 34.135855),1295778033
THE ART OF HEALTH,1902 EAST BOULEVARD,,CHARLOTTE,MECKLENBURG,NC,28203,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,01/10/2022 12:00:00 AM,40,,,POINT (-80.838863 35.196756),
Walmart Pharmacy #1211,21101 McGuire Rd,,Harvard,MCHENRY,IL,60033,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,38,02/02/2022 12:00:00 AM,POINT (-88.610434 42.407372),1306863675
ROBINSONS PHARMACY,359 MAIN STREET,,Placerville,EL DORADO,CA,95667,0006-5055-06,Molnupiravir,01/02/2022 12:00:00 AM,01/10/2022 12:00:00 AM,40,40,01/24/2022 12:00:00 AM,POINT (-120.801788 38.728606),1558422154
Walmart Pharmacy #1052,3186 Highway 171 N,,Fayette,FAYETTE,AL,35555,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,19,02/02/2022 12:00:00 AM,POINT (-87.81059 33.732309),1982621280
Walgreens Store #18191,1301 HIGHWAY 90 E,,MORGAN CITY,SAINT MARY,LA,70380,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,60,98,02/03/2022 12:00:00 AM,POINT (-91.261938 29.682736),1861919698
CCAO BOULDER,1840 Folsom St,#105,BOULDER,BOULDER,CO,80302,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,24,,,POINT (-105.263023 40.018589),
SOUTHEASTERN OHIO REGIONAL MED CTR,1341 CLARK STREET,,CAMBRIDGE,GUERNSEY,OH,43725,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,01/08/2022 12:00:00 AM,20,24,02/01/2022 12:00:00 AM,POINT (-81.576677 40.040477),
Walmart Pharmacy #4388,"1211 West Broad Street, Suite A",,Waynesboro,WAYNESBORO CITY,VA,22980,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,80,8,02/02/2022 12:00:00 AM,POINT (-78.895538 38.071493),1477901676
Bechtels Pharmacy Inc,302 Main Street,,Slatington,LEHIGH,PA,18080,0006-5055-06,Molnupiravir,02/01/2022 12:00:00 AM,,40,,,POINT (-75.608012 40.7525),1528088010
Walgreens Store #06000,22 US HIGHWAY 41,,SCHERERVILLE,LAKE,IN,46375,0006-5055-06,Molnupiravir,01/18/2022 12:00:00 AM,01/20/2022 12:00:00 AM,20,20,02/03/2022 12:00:00 AM,POINT (-87.471436 41.522629),1952318990
Walgreens Store #06698,6851 TEMIE LEE PKWY,,MIDLOTHIAN,CHESTERFIELD,VA,23112,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,80,02/03/2022 12:00:00 AM,POINT (-77.664392 37.40516),1407862865
AGRACE PHARMA,721 W Tarrant Rd,Suite 110,Grand Prairie,DALLAS,TX,75050,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,5,01/26/2022 12:00:00 AM,POINT (-97.013233 32.758957),
PhysicianOne UrgCare/Brookfield,31 Old Route 7,,Brookfield,FAIRFIELD,CT,06804,0006-5055-06,Molnupiravir,01/18/2022 12:00:00 AM,01/21/2022 12:00:00 AM,60,60,02/01/2022 12:00:00 AM,POINT (-73.408928 41.476516),
Walgreens Store #09336,2011 12TH ST NW,,ALBUQUERQUE,BERNALILLO,NM,87104,0006-5055-06,Molnupiravir,01/18/2022 12:00:00 AM,01/20/2022 12:00:00 AM,80,77,02/03/2022 12:00:00 AM,POINT (-106.658696 35.108499),1093722993
Giant Eagle Inc.,400 Northtowne Square,Giant Eagle Pharmacy #2491,Gibsonia,ALLEGHENY,PA,15044,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/02/2022 12:00:00 AM,60,,,POINT (-79.941862 40.636881),1336154269
17020-HOSP ONCOLOGICO DR ISAAC GONZ,150 AVE AMERICO MIRANDA,CENTRO MEDICO BO MONACILLOS,SAN JUAN,San Juan,PR,00919,0310-7442-02,Evusheld,02/03/2022 12:00:00 AM,,24,,,,1407852338
Economy Discount Pharmacy,3414 WEST OKMULGEE,,Muskogee,MUSKOGEE,OK,74401,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,40,39,02/02/2022 12:00:00 AM,POINT (-95.405651 35.754967),1265429138
KERR HEALTH LTC,8431 GARVEY DRIVE,SUITE 109,RALEIGH,WAKE,NC,27616,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/13/2022 12:00:00 AM,60,,,POINT (-78.568518 35.894782),
CUMBERLAND PHARMACY,1756 ANDERSON HWY,,CUMBERLAND,CUMBERLAND,VA,23040,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/14/2022 12:00:00 AM,80,77,02/03/2022 12:00:00 AM,POINT (-78.267976 37.484827),1669601324
Walgreens Store #10923,412 EAST MAIN ST,,LOUISA,LOUISA,VA,23093,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/14/2022 12:00:00 AM,80,80,02/03/2022 12:00:00 AM,POINT (-77.993304 38.020022),1487845517
Reid Health,Reid Health,1100 Reid Parkway,Richmond,WAYNE,IN,47374,0069-1085-30,Paxlovid,01/13/2022 12:00:00 AM,01/17/2022 12:00:00 AM,40,34,02/03/2022 12:00:00 AM,,
UHS PAVILION PHARMACY,4647 MEDICAL DR,,SAN ANTONIO,BEXAR,TX,78229,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,80,56,02/03/2022 12:00:00 AM,POINT (-98.576927 29.509562),1538445861
UCSF BENIOFF CHILDRENS HOSPITAL OA,747 52nd Street,,Oakland,ALAMEDA,CA,94609,0069-1085-30,Paxlovid,02/01/2022 12:00:00 AM,,20,40,02/02/2022 12:00:00 AM,POINT (-122.267901 37.837309),1588833347
ROSWELL PARK CANCER INSTITUTE,Elm And Carlton St,,Buffalo,ERIE,NY,14263-0001,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,336,172,01/31/2022 12:00:00 AM,POINT (-78.865021 42.898533),
Allina Health Owatonna Pharmacy,2250 26th St. NW,Suite 1001,owatonna,STEELE,MN,55060,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/02/2022 12:00:00 AM,100,40,01/28/2022 12:00:00 AM,POINT (-93.251368 44.109718),1477517787
Walgreens Store #04547,8538 N TRYON ST,,CHARLOTTE,MECKLENBURG,NC,28262,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,20,40,02/03/2022 12:00:00 AM,POINT (-80.750366 35.304464),1386659480
HOLLOMAN AFB,220 First Street,Bldg 12,Holloman AFB,OTERO,NM,88330-8273,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/14/2022 12:00:00 AM,20,,,POINT (-106.069514 32.832955),
CARONDELET RHEUMATOLOGY,1010 Carondelet,224A,Kansas City,JACKSON,MO,64114,0310-7442-02,Evusheld,01/19/2022 12:00:00 AM,01/21/2022 12:00:00 AM,48,10,01/18/2022 12:00:00 AM,POINT (-94.605907 38.935007),1477604817
Walgreens Store #10207,152 N BUCKMAN ST,,SHEPHERDSVILLE,BULLITT,KY,40165,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/17/2022 12:00:00 AM,100,192,02/03/2022 12:00:00 AM,POINT (-85.715596 37.991428),1619922978
"V10 610A4 Fort Wayne, IN",2121 LAKE AVENUE,,FORT WAYNE,ALLEN,IN,46805,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,POINT (-85.108343 41.089775),
AGRACE PHARMA,721 W Tarrant Rd,Suite 110,Grand Prairie,DALLAS,TX,75050,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,40,20,01/26/2022 12:00:00 AM,POINT (-97.013233 32.758957),
Walmart Pharmacy #1016,410 N Canal Blvd,,Thibodaux,LAFOURCHE,LA,70301,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,20,20,02/02/2022 12:00:00 AM,POINT (-90.815521 29.808663),1073530325
