Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address
"V23 636A8 Iowa City, IA",601 HIGHWAY 6 W,,IOWA CITY,JOHNSON,IA,52246,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,24,,,POINT (-91.548116 41.664617)
Meijer Store 291,408 W South St,,Sturgis,SAINT JOSEPH,MI,49091,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-85.423538 41.788675)
AVERA HOLY FAMILY HOSPITAL,826 N 8TH ST,AVERA HOLY FAMILY,Estherville,EMMET,IA,51334,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,24,,,POINT (-94.833994 43.410538)
LITTLETON REGIONAL HOSPITAL,600 SAINT JOHNSBURY RD,,LITTLETON,GRAFTON,NH,03561-3442,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,20,20,12/29/2021 12:00:00 AM,POINT (-71.825316 44.316234)
Warm Springs Service Unit,1270 Kot Num,,Warm Springs,JEFFERSON,OR,97761,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,40,,,POINT (-121.270365 44.757013)
Rite Aid 11042,2178 W. UNION BLVD.,,BETHLEHEM,NORTHAMPTON,PA,18018-2011,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,120,120,01/05/2022 12:00:00 AM,POINT (-75.420055 40.626288)
Walmart Pharmacy #3077,6530 Trading Sq,,Haymarket,PRINCE WILLIAM,VA,20169,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-77.645344 38.818124)
COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVE - ATTN PHARMACY,,HUDSON,COLUMBIA,NY,12534-2907,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,24,,,POINT (-73.777067 42.24599)
Washakie Medical Center,400 S 15th Street,,Worland,WASHAKIE,WY,82401,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-107.948409 44.013659)
Walmart Pharmacy #662,2800 Spring Ave SW,,Decatur,MORGAN,AL,35603,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-87.000176 34.556666)
Walmart Pharmacy #4627,2750 W University Dr,,Denton,DENTON,TX,76201,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-97.167246 33.229933)
Kaiser Foundation Hospital,3288 MOANALUA RD,,"HONOLULU,",HONOLULU,HI,96819,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,60,,,POINT (-157.900297 21.362447)
Meijer Store 021,5800 Gull Road,,Kalamazoo,KALAMAZOO,MI,49048,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/05/2022 12:00:00 AM,POINT (-85.517392 42.3255)
Walmart Pharmacy #2617,3010 Potato Rd,,Winnemucca,HUMBOLDT,NV,89445,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-117.745348 40.954417)
BRISTOL HOSPITAL,41 BREWSTER RD,,BRISTOL,HARTFORD,CT,06010-5161,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,01/04/2022 12:00:00 AM,POINT (-72.935261 41.676015)
Rite Aid 02277,1799 THIRD STREET,,BEAVER,BEAVER,PA,15009-2422,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,100,100,01/05/2022 12:00:00 AM,
"V04 562 Erie, PA",135 EAST 38TH ST,,ERIE,ERIE,PA,16504,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,40,,,POINT (-80.064119 42.10317)
"BROAD AVENUE PHARMACY, LLC",1400 NORTH BROAD ST.,,NEW ORLEANS,ORLEANS,LA,70119,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,14,01/04/2022 12:00:00 AM,POINT (-90.077898 29.976334)
VALLEY CHILDRENS HEALTHCARE,9300 Valley Childrens Place,Inpatient Pharmacy,Madera,MADERA,CA,93636,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/22/2021 12:00:00 AM,72,72,12/29/2021 12:00:00 AM,POINT (-119.800266 36.884502)
UC HEALTH UNIV OF CINCINNATI,331 ALBERT SABIN WAY,,CINCINNATI,HAMILTON,OH,45229,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,80,,,POINT (-84.502349 39.139546)
CVS Store #09875,230 ATLANTIC AVE,CVS Pharmacy,PITTSBURG,CONTRA COSTA,CA,94565,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,80,,,POINT (-121.888531 38.008085)
Walmart Pharmacy #764,750 Academy Dr,,Bessemer,JEFFERSON,AL,35022,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-86.99877 33.361725)
MOAB REGIONAL HOSPITAL,450 WILLIAMS WAY,,MOAB,GRAND,UT,84532,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,01/05/2022 12:00:00 AM,POINT (-109.559563 38.574309)
BIRDSBORO PHARMACY INC,200 W. 1st Street,Suite 3,Birdsboro,BERKS,PA,19508,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,100,01/05/2022 12:00:00 AM,POINT (-75.808762 40.263465)
Alaska RSSC,2000 E 88th Ave,,Anchorage,ANCHORAGE,AK,99507,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,12/28/2021 12:00:00 AM,144,,,POINT (-149.845149 61.14113)
EISENHOWER MEDICAL CENTER,39000 Bob Hope Drive,,Rancho Mirage,RIVERSIDE,CA,92270,0310-7442-02,Evusheld,01/02/2022 12:00:00 AM,,360,166,01/05/2022 12:00:00 AM,POINT (-116.408082 33.763494)
CVS Store #00493,99 EAST MAIN ROAD,CVS Pharmacy,MIDDLETOWN,NEWPORT,RI,02842,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,20,0,01/05/2022 12:00:00 AM,POINT (-71.29885 41.517304)
Walmart Pharmacy #1279,10411 North Fwy # 45,,Houston,HARRIS,TX,77037,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-95.412964 29.918531)
PHARMACARE INSTITUTIONAL SERVICES,3 Commerce Drive,,Cumberland,ALLEGANY,MD,21502,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,,POINT (-78.737405 39.679)
OZARKS HEALTHCARE-WEST PLAINS,18 Parkway Shopping Center,,WEST PLAINS,HOWELL,MO,65775,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,20,,,
RIVER VALLEY COMMUNITY HEALTH,424 Williams St,,Mossyrock,LEWIS,WA,98564,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,,24,,,POINT (-122.485346 46.531349)
Atlantic General Hospital,9733 Healthway Drive,Inpatient Pharmacy 2nd Floor,Berlin,WORCESTER,MD,21811,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,96,96,01/05/2022 12:00:00 AM,POINT (-75.210472 38.338604)
Tops Markets LLC and Tops PT LLC,525 N FRALEY STREET,QUALITY FOOD 672,KANE,MCKEAN,PA,16735,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/29/2021 12:00:00 AM,40,,,POINT (-78.814172 41.670973)
TOWER HEALTH-READING HOSPITAL,420 SOUTH 5TH AVE,,READING,BERKS,PA,19611,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,12/28/2021 12:00:00 AM,144,,,POINT (-75.948059 40.329863)
UNITED PHARMACY,5601 Amarillo Blvd. West,,Amarillo,POTTER,TX,79106,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,01/05/2022 12:00:00 AM,POINT (-101.901176 35.21498)
Arnot Ogden Medical Center,600 Roe Ave,Inpatient Pharmacy Dept.,Elmira,CHEMUNG,NY,14905,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,48,24,01/05/2022 12:00:00 AM,POINT (-76.826745 42.099234)
UNIVERSITY OF ILLINOIS HOSPITAL,912 S PAULINA ST,Room C323,CHICAGO,COOK,IL,60612-4333,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,12/30/2021 12:00:00 AM,96,72,01/05/2022 12:00:00 AM,POINT (-87.668951 41.869159)
PROVIDENCE ST. JOSEPH HOSPITAL ORAN,1100 West Stewart Drive,,Orange,ORANGE,CA,92868,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,48,48,01/05/2022 12:00:00 AM,POINT (-117.864861 33.782363)
SAFEWAY PHARMACY,3532 172nd Street N.E.,,Arlington,SNOHOMISH,WA,98223,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.182265 48.152386)
JONES MEMORIAL HOSPITAL,191 N MAIN ST,,WELLSVILLE,ALLEGANY,NY,14895-0000,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,48,24,01/05/2022 12:00:00 AM,POINT (-77.950013 42.123016)
Rite Aid 06007,3142 G STREET,,MERCED,MERCED,CA,95340-1392,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,20,01/05/2022 12:00:00 AM,POINT (-120.469208 37.319444)
Walmart Pharmacy #1201,890 ODUM RD,,GARDENDALE,JEFFERSON,AL,35071,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.825246 33.647431)
Overland Park Regional Medical Cent,10500 Quivira,,Overland Park,JOHNSON,KS,66215,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,48,24,01/05/2022 12:00:00 AM,POINT (-94.723699 38.937894)
Allcare RX  Healthcare Services,112 South Oxley Drive,,Lyons,TOOMBS,GA,30436,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,20,,,POINT (-82.339837 32.20253)
Walgreens Store #13779,39527 HIGHWAY 42,,PRAIRIEVILLE,ASCENSION,LA,70769,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,0,01/05/2022 12:00:00 AM,POINT (-90.939824 30.322332)
Walgreens Store #09998,3400 AIRLINE DR,,BOSSIER CITY,BOSSIER,LA,71111,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,0,01/05/2022 12:00:00 AM,POINT (-93.711738 32.565896)
Rite Aid 02277,1799 THIRD STREET,,BEAVER,BEAVER,PA,15009-2422,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,40,40,01/05/2022 12:00:00 AM,
ROBINSONS PHARMACY,359 MAIN STREET,,Placerville,EL DORADO,CA,95667,0006-5055-06,Molnupiravir,01/02/2022 12:00:00 AM,,40,,,POINT (-120.801788 38.728606)
HIGH DESERT MEDICAL GROUP,43839 15TH ST W,,LANCASTER,LOS ANGELES,CA,93534,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,60,,,POINT (-118.156857 34.678598)
HAYAT PHARMACY,805 W LAYTON AVE,,MILWAUKEE,MILWAUKEE,WI,53221,0069-1085-30,Paxlovid,01/03/2022 12:00:00 AM,,20,,,POINT (-87.922285 42.959162)
CVS Store #02768,6500 S. UNION AVE.,CVS Pharmacy,BAKERSFIELD,KERN,CA,93307,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,15,01/05/2022 12:00:00 AM,POINT (-119.003 35.295249)
Walgreens Store #09804,180 W MAIN ST,,UNIONTOWN,FAYETTE,PA,15401,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,40,36,01/05/2022 12:00:00 AM,POINT (-79.732183 39.901162)
Walmart Pharmacy #1214,115 W Willow Ave,,Colby,THOMAS,KS,67701,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,,POINT (-101.045418 39.365265)
Choptank Community Health System,S 5th Ave,S 5th Ave,Denton,CAROLINE,MD,21629,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,20,01/04/2022 12:00:00 AM,
AURORA BAY AREA MEDICAL CENTER,3003 University Drive,Attn: Inpatient Pharmacy,Marinette,MARINETTE,WI,54143,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,12/28/2021 12:00:00 AM,48,,,POINT (-87.645286 45.070828)
OAKDELL PHARMACY,7220 Louis Pasteur,,San Antonio,BEXAR,TX,78229,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-98.576833 29.501312)
COLUMBIA ST. MARYS - OZAUKEE CAMPUS,13111 N PORT WASHINGTON RD,,MEQUON,OZAUKEE,WI,53097,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,12/28/2021 12:00:00 AM,48,,,POINT (-87.92415 43.25618)
WakeMed Raleigh Campus,3000 newbern ave,,raleigh,WAKE,NC,27610,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,120,40,01/04/2022 12:00:00 AM,POINT (-78.589144 35.786067)
AVERA MARSHALL REGIONAL MEDICAL CEN,300 S. BRUCE ST,,MARSHALL,LYON,MN,56258,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,80,,,POINT (-95.776188 44.44774)
PHARMERICA CHARLOTTE,4600 LEBANON RD UNIT F,,MINT HILL,MECKLENBURG,NC,28227,0069-1085-30,Paxlovid,12/26/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-80.683412 35.152046)
ASHLEY REGIONAL MEDICAL CENTER,150 W. 100 N.,,VERNAL,UINTAH,UT,84078,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,,POINT (-109.531564 40.457124)
Rite Aid 05729,1688 NORTH PERRIS BOULEVARD,,PERRIS,RIVERSIDE,CA,92571-4709,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,100,01/05/2022 12:00:00 AM,POINT (-117.226215 33.803145)
BOSTON MEDICAL CENTER PHARMACY DOCT,850 HARRISON AVE 1st floor,Yawkey Pharmacy,BOSTON,SUFFOLK,MA,02118,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,520,,,POINT (-71.074855 42.335174)
Walmart Pharmacy #470,1821 S PADRE ISLAND DR,,CORPUS CHRISTI,NUECES,TX,78416,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-97.437444 27.740136)
Hannaford Brothers Store # 8241,93 LINCOLNVILLE AVENUE,,BELFAST,WALDO,ME,04915,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,20,,,POINT (-69.017181 44.419847)
RANDALLS PHARMACY,525 SOUTH FRY RD,,Katy,HARRIS,TX,77450,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-95.718914 29.779543)
Rite Aid 00260,1000 PENNSYLVANIA AVENUE,,ELMIRA,CHEMUNG,NY,14904-2609,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,60,60,01/05/2022 12:00:00 AM,POINT (-76.811341 42.060178)
COMMUNITY MEDICAL CENTER,99 ROUTE 37 W,,TOMS RIVER,OCEAN,NJ,08755,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,12,01/05/2022 12:00:00 AM,POINT (-74.214585 39.965098)
Walgreens Store #02361,12802 E 96TH ST N,,OWASSO,TULSA,OK,74055,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,95,01/05/2022 12:00:00 AM,POINT (-95.830782 36.293004)
VILLAGE PHARMACY SERVICES,10410 E 9th Avenue,,Spokane Valley,SPOKANE,WA,99206,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,,POINT (-117.265206 47.648731)
CVS Store #09871,1317 N H ST,CVS Pharmacy,LOMPOC,SANTA BARBARA,CA,93436,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,20,17,01/05/2022 12:00:00 AM,POINT (-120.457732 34.659994)
Walgreens Store #09994,1955 SULLIVAN TRL,,EASTON,NORTHAMPTON,PA,18040,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,40,40,01/05/2022 12:00:00 AM,POINT (-75.222487 40.718663)
