Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date
Walgreens Store #03727,1919 N DOBSON RD,,CHANDLER,MARICOPA,AZ,85224,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,140,,
Walgreens Store #10841,1660 MAIN ST,,BUDA,HAYS,TX,78610,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,,
Walgreens Store #03731,4601 WESTFIELD AVE,,PENNSAUKEN,CAMDEN,NJ,08110,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,140,,
Walgreens Store #11830,236 S MAIN ST,,MARKSVILLE,AVOYELLES,LA,71351,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,
Walgreens Store #12029,27495 RANCH ROAD 12,,DRIPPING SPRINGS,HAYS,TX,78620,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,40,,
Walgreens Store #06182,15111 WALLISVILLE RD,,HOUSTON,HARRIS,TX,77049,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,200,,
Walgreens Store #07491,6802 S FRY RD,,KATY,FORT BEND,TX,77494,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walgreens Store #07491,6802 S FRY RD,,KATY,FORT BEND,TX,77494,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,200,,
Walgreens Store #21270,2418 AUGUSTA HWY,STE A,LEXINGTON,LEXINGTON,SC,29072,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,460,,
Walgreens Store #19396,231 PROSPECT ST,,SOUTH RIVER,MIDDLESEX,NJ,08882,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,160,,
Walgreens Store #18296,147 N COMRIE AVE,,JOHNSTOWN,FULTON,NY,12095,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walgreens Store #15366,220 N ALEXANDER AVE,,PORT ALLEN,WEST BATON ROUGE,LA,70767,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,
Walgreens Store #10577,1804 ELTON RD,,JENNINGS,JEFFERSON DAVIS,LA,70546,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,
Neil Medical Group Burlington,509 S. Lexington Ave,,Burlington,ALAMANCE,NC,27215,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,40,,
Walgreens Store #10876,323 S WALKER ST,,PRINCETON,MERCER,WV,24740,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walgreens Store #10876,323 S WALKER ST,,PRINCETON,MERCER,WV,24740,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,
Walgreens Store #18997,6050 BLACK HORSE PIKE,,EGG HARBOR TOWNSHIP,ATLANTIC,NJ,08234,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,160,,
Walgreens Store #03894,1650 DUNLAWTON AVE,,PORT ORANGE,VOLUSIA,FL,32127,0069-1085-30,Paxlovid,12/30/2021 12:00:00 AM,,120,,
Walgreens Store #03018,3112 S HARVARD AVE,,TULSA,TULSA,OK,74135,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,
Walgreens Store #02012,4444 JACKSON ST,,ALEXANDRIA,RAPIDES,LA,71303,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,
Walgreens Store #04745,5280 BUFFALO SPEEDWAY,,HOUSTON,HARRIS,TX,77005,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walgreens Store #05937,4315 W MCDOWELL RD,,PHOENIX,MARICOPA,AZ,85035,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,140,,
Walgreens Store #00183,4210 CARR 693,,DORADO,Dorado,PR,00646,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
Walgreens Store #00670,10 AVE FENWAL,,SAN GERMAN,San German,PR,00683,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
Walgreens Store #00891,65 INFANTERIA SHOPPING CTR,,SAN JUAN,San Juan,PR,00925,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
Walgreens Store #04219,206 S WALL ST,,CARBONDALE,JACKSON,IL,62901,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,120,,
Walgreens Store #00013,35 CALLE JUAN C BORBON,STE 77,GUAYNABO,Guaynabo,PR,00969,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/25/2021 12:00:00 AM,20,,
Walgreens Store #01257,103 COMMONWEALTH BLVD W,,MARTINSVILLE,MARTINSVILLE CITY,VA,24112,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,20,,
Walgreens Store #02452,2811 N MAIN ST,,ANDERSON,ANDERSON,SC,29621,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,480,,
UNITED PHARMACY,6313 4th St,,Lubbock,LUBBOCK,TX,79416,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
TOM THUMB PHARMACY,11920 Preston Rd.,,Dallas,DALLAS,TX,75230,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
RANDALLS PHARMACY,2051 Gattis School RD,,Round Rock,WILLIAMSON,TX,78664,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
UNITED PHARMACY,2630 Parkway Drive,,Lubbock,LUBBOCK,TX,79403,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
HEB Pharmacy 334,3601 PECAN BLVD,,MCALLEN,HIDALGO,TX,78501-3512,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,19,12/31/2021 12:00:00 AM
HEB Pharmacy 334,3601 PECAN BLVD,,MCALLEN,HIDALGO,TX,78501-3512,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM,,20,20,12/31/2021 12:00:00 AM
MARKET STREET PHARMACY,6100 Eldorado Pkwy,,Mckinney,COLLIN,TX,75070,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
UNITED PHARMACY,920 N Willis ST,,Abilene,TAYLOR,TX,79603,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
UNITED PHARMACY,3301 South 14th,,Abilene,TAYLOR,TX,79605,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
VONS PHARMACY,481 OLD MAMMOTH RD,,Mammoth Lakes,MONO,CA,93546,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,
VONS PHARMACY,481 OLD MAMMOTH RD,,Mammoth Lakes,MONO,CA,93546,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
TOM THUMB PHARMACY,980 Highway 287 N,,Mansfield,TARRANT,TX,76063,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
HEB Pharmacy 225,7901 EAST HWY 290,,AUSTIN,TRAVIS,TX,78703,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,12/31/2021 12:00:00 AM
AMIGOS PHARMACY,3300 E INTERSTATE 40,,Amarillo,POTTER,TX,79103,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
SAFEWAY PHARMACY,3627 Airport Way STE 1,,Fairbanks,FAIRBANKS NORTH STAR,AK,99709,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
MARKET STREET PHARMACY,4425 19th Street,,Lubbock,LUBBOCK,TX,79407,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
SAV-ON PHARMACY,427 E. FM 1382,,Cedar Hill,DALLAS,TX,75104,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
ALBERTSONS PHARMACY,6249 RUFE SNOW DRIVE,,Watauga,TARRANT,TX,76148,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
SAV-ON PHARMACY,2165 BUCKINGHAM RD,,Richardson,DALLAS,TX,75081,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,
HEB Pharmacy 28,2955 SOUTH GULF FREEWAY,,LEAGUE CITY,GALVESTON,TX,77573-6750,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM,,20,20,12/31/2021 12:00:00 AM
Walgreens Store #13790,14095 JEFFERSON DAVIS HWY,,WOODBRIDGE,PRINCE WILLIAM,VA,22191,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,20,,
HEB Pharmacy 13,4031 E US HIGHWAY 83,,RIO GRANDE CITY,STARR,TX,78582-4815,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,12/31/2021 12:00:00 AM
Walgreens Store #07794,601 PASSAIC AVE,,WEST CALDWELL,ESSEX,NJ,07006,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,160,,
Walgreens Store #15206,2610 E ROUTE 66,,FLAGSTAFF,COCONINO,AZ,86004,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/27/2021 12:00:00 AM,100,,
TOM THUMB PHARMACY,3001 S. HARDIN BLVD.,,Mckinney,COLLIN,TX,75070,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
Walgreens Store #07632,3061 COLLEGE PARK DR,,CONROE,MONTGOMERY,TX,77384,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,200,,
Walgreens Store #07648,2410 REIDVILLE RD,,SPARTANBURG,SPARTANBURG,SC,29301,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,100,,
Walgreens Store #13846,4030 ANNAS RETREAT,,ST THOMAS,SAINT THOMAS,VI,00802,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
RANDALLS PHARMACY,5586 WESLAYAN ST,,Houston,HARRIS,TX,77005,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Walgreens Store #12775,550 W DIXIE AVE,,ELIZABETHTOWN,HARDIN,KY,42701,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,540,,
Walgreens Store #15186,339 MATAWAN RD,,MATAWAN,MONMOUTH,NJ,07747,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,160,,
Walgreens Store #12787,400 W FAIRCHILD ST,,DANVILLE,VERMILION,IL,61832,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,120,,
Walgreens Store #09967,8174 OCEAN GTWY,,EASTON,TALBOT,MD,21601,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,180,,
VONS PHARMACY,475 E. Windmill Lane,,Las Vegas,CLARK,NV,89123,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,120,,
Walgreens Store #05035,8301 BROADWAY ST,,HOUSTON,HARRIS,TX,77061,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,,
Walgreens Store #05269,420 N FRAZIER ST,,CONROE,MONTGOMERY,TX,77301,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
CVS Store #09141,3151 UNIVERSITY AVE.,CVS Pharmacy,SAN DIEGO,SAN DIEGO,CA,92104,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,40,,
CVS Store #04950,3301 ZINFANDEL DR.,CVS Pharmacy,RANCHO CORDOVA,SACRAMENTO,CA,95670,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,80,,
Walgreens Store #04109,22 E SAINT GEORGES AVE,,LINDEN,UNION,NJ,07036,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,60,,
CVS Store #05123,6510 BROCKPORT-SPENCERPORT RD.,CVS Pharmacy,BROCKPORT,MONROE,NY,14420,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,40,39,12/30/2021 12:00:00 AM
Walgreens Store #04602,2510 STATE ST,,EAST SAINT LOUIS,SAINT CLAIR,IL,62205,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,
CVS Store #10662,50 SOUTH FORT LANE,CVS Pharmacy,LAYTON,DAVIS,UT,84041,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,120,,
Walgreens Store #03198,7634 BELLAIRE BLVD,,HOUSTON,HARRIS,TX,77036,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,,
Walgreens Store #05353,20266 N LAKE PLEASANT RD,,PEORIA,MARICOPA,AZ,85382,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,140,,
Rite Aid 07861,3145 MAIN STREET,,MORGANTOWN,BERKS,PA,19543-0000,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,100,,
CIHA HOSPITAL,1 Hospital Road,,Cherokee,SWAIN,NC,28719,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,
MESCALERO INDIAN HOSPITAL,318 Abalone Loop,,Mescalero,OTERO,NM,88340,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
TUBA CITY REG HEALTH CARE CENTER,3008 EAST BIRCH AVE,,Tuba City,COCONINO,AZ,86045,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,
PENOBSCOT INDIAN NAT HLTH CENT,23 Wabanaki Way,,Indian Island,PENOBSCOT,ME,04468,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,20,,
Meijer Store 302,3630 US 41 West,,Marquette,MARQUETTE,MI,49855,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 191,1195 M 89,,Plainwell,ALLEGAN,MI,49080,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 208,3710 Dix Highway,,Lincoln Park,WAYNE,MI,48146,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 065,15055 Hall Road,,Utica,MACOMB,MI,48315,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 063,30800 LITTLE MACK AVE,,Roseville,MACOMB,MI,48066,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 057,3175 S Rochester Rd,,Rochester Hills,OAKLAND,MI,48307,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,100,100,01/02/2022 12:00:00 AM
Meijer Store 057,3175 S Rochester Rd,,Rochester Hills,OAKLAND,MI,48307,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
CVS Store #06793,3020 GREEN VALLEY RD STE B,CVS Pharmacy,CAMERON PARK,EL DORADO,CA,95682,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,60,,
Meijer Store 286,21431 Grand River Ave,,Detroit,WAYNE,MI,48219,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 279,15 Caberfae Hwy,,Manistee,MANISTEE,MI,49660,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 259,4141 Morrish Rd,,Swartz Creek,GENESEE,MI,48473,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 232,5300 HARVEY ST,,Muskegon,MUSKEGON,MI,49444,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 248,3700 17 Mile Rd NE,,Cedar Springs,KENT,MI,49319,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 122,49900 Grand River Ave,,Wixom,OAKLAND,MI,48393,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 044,2474 W Hill Road,,Flint,GENESEE,MI,48507,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,100,100,01/02/2022 12:00:00 AM
Meijer Store 043,3360 Tittabawassee Road,,Saginaw,SAGINAW,MI,48604,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/02/2022 12:00:00 AM
Meijer Store 027,3825 Carpenter Road,,Ypsilanti,WASHTENAW,MI,48197,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,100,100,01/02/2022 12:00:00 AM
Walmart Pharmacy #484,3300 Iowa St,,Lawrence,DOUGLAS,KS,66046,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Meijer Store 195,6405 B Drive North,,Battle Creek,CALHOUN,MI,49014,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Meijer Store 193,3900 West US 10,,Ludington,MASON,MI,49431,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,
Walmart Pharmacy #2311,2800 Wal Mart Dr,,Huntington,HUNTINGTON,IN,46750,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Walmart Pharmacy #42,1863 CR 5300,,Coffeyville,MONTGOMERY,KS,67337,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walmart Pharmacy #2691,2910 Grant Line Rd,,New Albany,FLOYD,IN,47150,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Walmart Pharmacy #1160,100 SYCAMORE ESTATES DR,,AURORA,DEARBORN,IN,47001,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,
Walmart Pharmacy #566,1115 American Way,,Boonville,WARRICK,IN,47601,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,
CVS Store #09918,31021 TEMECULA PARKWAY,CVS Pharmacy,TEMECULA,RIVERSIDE,CA,92592,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,100,,
CVS Store #02205,274 OLD NYACK TURNPIKE,CVS Pharmacy,SPRING VALLEY,ROCKLAND,NY,10977,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,240,,
Rite Aid 06016,855 MONO WAY,,SONORA,TUOLUMNE,CA,95370-5202,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Rite Aid 05783,221 EAST HARVARD BOULEVARD,,SANTA PAULA,VENTURA,CA,93060-3315,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,60,,
Rite Aid 06090,1583 HIGHWAY 99,,GRIDLEY,BUTTE,CA,95948-3107,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,
Rite Aid 06066,295 WEST MAIN STREET,,WOODLAND,YOLO,CA,95695-3691,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Rite Aid 06066,295 WEST MAIN STREET,,WOODLAND,YOLO,CA,95695-3691,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,120,,
RANDALLS PHARMACY,525 SOUTH FRY RD,,Katy,HARRIS,TX,77450,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
MARKET STREET PHARMACY,5605 Colleyville Blvd.,,Colleyville,TARRANT,TX,76034,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Walmart Pharmacy #1099,501 E PAWNEE ST,,WICHITA,SEDGWICK,KS,67211,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,80,,
HEB Pharmacy 591,1700 E PALM VALLEY BLVD,,ROUND ROCK,WILLIAMSON,TX,78664-4677,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,20,12/31/2021 12:00:00 AM
HEB Pharmacy 543,1900 TEXAS AVENUE SOUTH,,COLLEGE STATION,BRAZOS,TX,77840-3914,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM,,20,20,12/31/2021 12:00:00 AM
CVS Store #10792,1010 N. PEPPER AVENUE,CVS Pharmacy,COLTON,SAN BERNARDINO,CA,92324,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,60,,
SAFEWAY PHARMACY,1907 SEWARD HWY,,Seward,KENAI PENINSULA,AK,99664,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
UNITED PHARMACY,5601 Amarillo Blvd. West,,Amarillo,POTTER,TX,79106,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,
Walmart Pharmacy #2020,905 S College Ave,,Rensselaer,JASPER,IN,47978,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,
Walmart Pharmacy #1978,2505 N Oak Dr,,Plymouth,MARSHALL,IN,46563,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
SAFEWAY PHARMACY,2417 TONGASS AVE,,Ketchikan,KETCHIKAN GATEWAY,AK,99901,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
SAV-ON PHARMACY,1024 21ST ST,,Lewiston,NEZ PERCE,ID,83501,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM,,160,,
Rite Aid 06103,310 WEST LAKE STREET,,MOUNT SHASTA,SISKIYOU,CA,96067-2119,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
SAFEWAY PHARMACY,301 N Santa Claus LN,,North Pole,FAIRBANKS NORTH STAR,AK,99705,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
SAFEWAY PHARMACY,1855 WISCONSIN AVE NW,,Washington,DISTRICT OF COLUMBIA,DC,20007,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/30/2021 12:00:00 AM,60,,
Rite Aid 05807,2501 HIGHWAY 46,,WASCO,KERN,CA,93280-2919,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,60,,
Rite Aid 06003,1830 MITCHELL ROAD,,CERES,STANISLAUS,CA,95307-2824,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Rite Aid 06003,1830 MITCHELL ROAD,,CERES,STANISLAUS,CA,95307-2824,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,
SAV-ON PHARMACY,330 E BENTON ST,,Pocatello,BANNOCK,ID,83201,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,40,,
SAV-ON PHARMACY,1300 AIRPORT FREEWAY,,Bedford,TARRANT,TX,76022,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,
Rite Aid 05672,806 W RAMSEY ST,,BANNING,RIVERSIDE,CA,92220,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
SAV-ON PHARMACY,4415 W 7TH ST,,Texarkana,BOWIE,TX,75501,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Rite Aid 11127,9773 ROOSEVELT BLVD,,PHILADELPHIA,PHILADELPHIA,PA,19114-1010,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,100,,
SAFEWAY PHARMACY,1313 Meals Ave,,Valdez,VALDEZ CORDOVA,AK,99686,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
Rite Aid 05860,2640 FLORAL AVENUE,,SELMA,FRESNO,CA,93662-2602,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,40,,
