Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date
Walmart Pharmacy #3585,2901 RILEY FUZZEL RD,,SPRING,MONTGOMERY,TX,77386,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #01271,626 ROUTE 25A,CVS Pharmacy,ROCKY POINT,SUFFOLK,NY,11778,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Rite Aid 04554,6731 WOODLAND AVENUE,,PHILADELPHIA,PHILADELPHIA,PA,19142-1602,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Walmart Pharmacy #62,3700 E Highway 18,,Blytheville,MISSISSIPPI,AR,72315,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #212,333 N Interstate Dr,,Norman,CLEVELAND,OK,73069,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 05945,2021 SOLANO AVENUE,,VALLEJO,SOLANO,CA,94590-6456,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Walmart Pharmacy #5312,3851 Airport Fwy,,Fort Worth,TARRANT,TX,76111,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #5147,1521 N Cockrell Hill Rd,,Dallas,DALLAS,TX,75211,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1694,2875 Sugar Hill Rd,,Marion,MCDOWELL,NC,28752,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1455,8401 ANDERSON BLVD,,FORT WORTH,TARRANT,TX,76120,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #813,401 W Commerce St,,Brownwood,BROWN,TX,76801,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #283,795 Texas Ave,,Bridge City,ORANGE,TX,77611,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #5122,2856 Hickory Hill Rd,,Memphis,SHELBY,TN,38115,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #00621,763 TIOGUE AVENUE,CVS Pharmacy,COVENTRY,KENT,RI,02816,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #00418,2503 SOUTH RD.,CVS Pharmacy,POUGHKEEPSIE,DUTCHESS,NY,12601,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #684,547 W Church St,,Lexington,HENDERSON,TN,38351,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #01084,114 S. LONG BEACH RD.,CVS Pharmacy,FREEPORT,NASSAU,NY,11520,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #181,800 James Bowie Dr,,New Boston,BOWIE,TX,75570,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #894,6625 S Memorial Dr,,Tulsa,TULSA,OK,74133,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #4466,13322 WEST AIRPORT BLVD,,SUGAR LAND,FORT BEND,TX,77478,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 03600,7804 BUFFALO AVENUE,,NIAGARA FALLS,NIAGARA,NY,14304-4222,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walgreens Store #07425,890 W MAIN ST,,LANSDALE,MONTGOMERY,PA,19446,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #09383,276 W LEE HWY,,WARRENTON,FAUQUIER,VA,20186,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
MARKET STREET PHARMACY,985 W. Bethany Dr.,,Allen,COLLIN,TX,75013,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
MARKET STREET PHARMACY,6100 Eldorado Pkwy,,Mckinney,COLLIN,TX,75070,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walgreens Store #00053,15 CARR 183,,SAN LORENZO,San Lorenzo,PR,00754,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
SAFEWAY PHARMACY,44428 STERLING HIGHWAY,,Soldotna,KENAI PENINSULA,AK,99669,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 10942,410 COOKE LANE,,PITTSBURGH,ALLEGHENY,PA,15234-1414,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
UNITED PHARMACY,920 N Willis ST,,Abilene,TAYLOR,TX,79603,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
UNITED PHARMACY,3500 COLLEGE AVE,,SNYDER,SCURRY,TX,79549,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
HEB Pharmacy 200,700 S SAINT MARYS ST,,FALFURRIAS,BROOKS,TX,78355-4365,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
Walgreens Store #00117,PR 181 AND PR 850,BO. CUEVAS,TRUJILLO ALTO,Trujillo Alto,PR,00976,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #00289,350 CARR 830,,BAYAMON,Bayamon,PR,00957,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
MARKET STREET PHARMACY,4450 Buffalo Gap Road,,Abilene,TAYLOR,TX,79606,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walgreens Store #01456,CAPR. PR-2 KM 87.7 INT. PR 130,BO PUEBLO,HATILLO,Hatillo,PR,00659,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #09804,180 W MAIN ST,,UNIONTOWN,FAYETTE,PA,15401,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
CVS Store #05123,6510 BROCKPORT-SPENCERPORT RD.,CVS Pharmacy,BROCKPORT,MONROE,NY,14420,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walgreens Store #09527,904 N MAIN ST,,HIGH POINT,GUILFORD,NC,27262,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
TOM THUMB PHARMACY,3001 S. HARDIN BLVD.,,Mckinney,COLLIN,TX,75070,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
TOM THUMB PHARMACY,3001 S. HARDIN BLVD.,,Mckinney,COLLIN,TX,75070,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Meijer Store 029,2333 S Center Rd,,Burton,GENESEE,MI,48519,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 177,8401 26 Mile Rd,,Washington,MACOMB,MI,48094-2964,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Rite Aid 07886,115 LEADERS HEIGHTS RD,,YORK,YORK,PA,17403,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Meijer Store 108,7300 EASTMAN AVE,,Midland,MIDLAND,MI,48642,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Meijer Store 208,3710 Dix Highway,,Lincoln Park,WAYNE,MI,48146,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 070,22600 Allen Road,,Woodhaven,WAYNE,MI,48183,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 069,1015 E PICKARD ST,,MOUNT PLEASANT,ISABELLA,MI,48858,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 057,3175 S Rochester Rd,,Rochester Hills,OAKLAND,MI,48307,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Rite Aid 06489,8008 PANAMA RD,,LAMONT,KERN,CA,93241-1322,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Walmart Pharmacy #566,1115 American Way,,Boonville,WARRICK,IN,47601,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1924,781 Main St,,Presque Isle,AROOSTOOK,ME,04769,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
RANDALLS PHARMACY,2951 Marina Bay Dr,,League City,GALVESTON,TX,77573,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walmart Pharmacy #884,2500 Progress Pkwy,,Shelbyville,SHELBY,IN,46176,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #2046,201 Civic Center Dr,,Augusta,KENNEBEC,ME,04330,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Meijer Store 023,5125 W SAGINAW HWY,,Lansing,EATON,MI,48917,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 227,6001 HIGHLAND RD,,White Lake,OAKLAND,MI,48383,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 293,1138 West Three Mile Rd,,Sault Sainte Marie,CHIPPEWA,MI,49783,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 172,3883 E GRAND RIVER AVE,,Howell,LIVINGSTON,MI,48843,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Meijer Store 278,26100 Vreeland Rd,,Flat Rock,WAYNE,MI,48134,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM
Walmart Pharmacy #1576,1555 US Highway 41,,Schererville,LAKE,IN,46375,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1639,2395 Main St,,Rochester,FULTON,IN,46975,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #2861,7319 W State St,,Boise,ADA,ID,83714,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #2311,2800 Wal Mart Dr,,Huntington,HUNTINGTON,IN,46750,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #5483,882 S State Road 135,,Greenwood,JOHNSON,IN,46143,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1180,790 GREENSBURG COMMONS CTR,,GREENSBURG,DECATUR,IN,47240,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #923,16865 Clover Rd,,Noblesville,HAMILTON,IN,46060,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 05783,221 EAST HARVARD BOULEVARD,,SANTA PAULA,VENTURA,CA,93060-3315,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 05782,2480 VICTORIA AVENUE,,PORT HUENEME,VENTURA,CA,93041-2141,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 06086,4300 ELVERTA ROAD,,ANTELOPE,SACRAMENTO,CA,95843-6700,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
SAFEWAY PHARMACY,301 N Santa Claus LN,,North Pole,FAIRBANKS NORTH STAR,AK,99705,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 05893,2150 ROOSEVELT AVENUE,,REDWOOD CITY,SAN MATEO,CA,94061-1304,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
UNITED PHARMACY,2522 IOWA PARK RD,,WICHITA FALLS,WICHITA,TX,76301,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 10931,2501 BANKSVILLE ROAD,,PITTSBURGH,ALLEGHENY,PA,15216-2853,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Rite Aid 06529,894 OAK VALLEY PARKWAY STE B,,BEAUMONT,RIVERSIDE,CA,92223-1463,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 06515,211 WEST BIRCH STREET,,CALEXICO,IMPERIAL,CA,92231-2348,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 05525,4525 E. PACIFIC COAST HIGHWAY,,LONG BEACH,LOS ANGELES,CA,90804-3228,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM
Rite Aid 03447,126 W. MAIN STREET,,GROVE CITY,MERCER,PA,16127-1222,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
RANDALLS PHARMACY,10228 BROADWAY ST,,Pearland,BRAZORIA,TX,77584,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
HEB Pharmacy 554,1505 E RIO GRANDE ST,,VICTORIA,VICTORIA,TX,77901-6220,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
HEB Pharmacy 540,3111 WOODRIDGE STE 500,,HOUSTON,HARRIS,TX,77087-2558,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
Rite Aid 02375,925 WEST ERIE PLAZA,,ERIE,ERIE,PA,16505-4535,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Rite Aid 00639,1924 GENESEE STREET,,UTICA,ONEIDA,NY,13502-5627,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Rite Aid 00639,1924 GENESEE STREET,,UTICA,ONEIDA,NY,13502-5627,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
HEB Pharmacy 716,1340 E COURT ST,,SEGUIN,GUADALUPE,TX,78155-5131,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
HEB Pharmacy 707,97 OYSTER CREEK DRIV,,LAKE JACKSON,BRAZORIA,TX,77566-4622,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
RANDALLS PHARMACY,14610 MEMORIAL DR,,Houston,HARRIS,TX,77079,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
HEB Pharmacy 557,801 NORTH I-H 35,,BELLMEAD,MCLENNAN,TX,76705-2874,0006-5055-06,Molnupiravir,12/25/2021 12:00:00 AM
HEB Pharmacy 557,801 NORTH I-H 35,,BELLMEAD,MCLENNAN,TX,76705-2874,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM
CVS Store #04539,25-43 PROSPECT ST.,CVS Pharmacy,YONKERS,WESTCHESTER,NY,10701,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #02412,60 E DEUCE OF CLUBS DR.,CVS Pharmacy,SHOW LOW,NAVAJO,AZ,85901,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
CVS Store #05048,1827 MAIN ST.,CVS Pharmacy,PEEKSKILL,WESTCHESTER,NY,10566,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #5256,4201 Hargrove Rd E,,Tuscaloosa,TUSCALOOSA,AL,35405,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #5903,3864 US Highway 80 W,,Phenix City,RUSSELL,AL,36870,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #740,1537 S US Highway 231,,Ozark,DALE,AL,36360,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #432,214 Haynes St,,Talladega,TALLADEGA,AL,35160,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
SMITHS PHARMACY 70600082,1080 W HWY 40,,VERNAL,UINTAH,UT,84078,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
KROGER PHARMACY 03500461,5190 HWY 78,,SACHSE,DALLAS,TX,75048,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
KROGER PHARMACY 03500594,3300 E BROAD ST,,MANSFIELD,TARRANT,TX,76063,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Walmart Pharmacy #726,2643 HIGHWAY 280,,ALEXANDER CITY,TALLAPOOSA,AL,35010,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
KROGER PHARMACY 03400316,4747 RESEARCH FOREST DR,,SPRING,MONTGOMERY,TX,77381,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #468,133 Arkansas Blvd,,Texarkana,MILLER,AR,71854,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #468,133 Arkansas Blvd,,Texarkana,MILLER,AR,71854,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
SMITHS PHARMACY 70600048,1075 E MAIN ST,,PRICE,CARBON,UT,84501,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
M HEALTH FAIRVIEW CLINICS,711 Kasota Ave SE,,Minneapolis,HENNEPIN,MN,55414,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
Cornerstone Drug and Gift,72 Champlain Street,,ROUSES POINT,CLINTON,NY,12979,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Kevin Denlinger,9249 W LAKE CITY RD,,Houghton Lake,ROSCOMMON,MI,48629,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM
UNITED MEM MED CTR,127 North Street,,Batavia,GENESEE,NY,14020,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
Eden Drug Inc,103 W STADIUM DR,,Eden,ROCKINGHAM,NC,27288,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
CHILDRENS OF ALABAMA,1600 7th Avenue South,,Birmingham,JEFFERSON,AL,35233,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
Adirondack Pharmacy,4057 State Highway 3,,Star Lake,SAINT LAWRENCE,NY,13690,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
St. Johns Hospital,625 East Broadway,,Jackson,TETON,WY,83001,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Good Samaritan Hospital,520 S. Seventh St.,,VINCENNES,KNOX,IN,47591,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
DEACONESS GATEWAY HOSPITAL,600 Mary St,,Evansville,VANDERBURGH,IN,47710,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
CDPHE STATE LAB,8100 E Lowry Blvd,,Denver,DENVER,CO,80230,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
SUNY UNIVERSITY HOSPITAL OF BKLYN,445 LENOX ROAD BOX 36,PHARMACY,BROOKLYN,KINGS,NY,11203-0000,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
ADVENTIST HEALTH WHITE MEMORIAL,1720 E. CESAR E CHAVEZ AVE ATTN,"TUNG NGUYEN, INPATIENT RX, ext 1536",LOS ANGELES,LOS ANGELES,CA,90033,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
SOUTHWELLNESS MEDICAL,10599 N TATUM BLVD,SUITE F151,PARADISE VALLEY,MARICOPA,AZ,85253,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM
THEDACARE RMC NEENAH COVID,130 SECOND ST,,Neenah,WINNEBAGO,WI,54956,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
HIGH DESERT REGIONAL HEALTH CENTER,335 E AVENUE I ROOM 1A14,,LANCASTER,LOS ANGELES,CA,93535,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
DOMINICAN HOSPITAL,1555 Soquel Dr.,,Santa Cruz,SANTA CRUZ,CA,95065,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
ANGELES COMMUNITY HEALTH CENTER,6120 SEVILLE AVE,,HUNTINGTON PARK,LOS ANGELES,CA,90255,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
PICO CARE PHARMACY,6650 ROSEMEAD BLVD,,PICO RIVERA,LOS ANGELES,CA,90660,0069-1085-30,Paxlovid,12/26/2021 12:00:00 AM
IVINSON MEMORIAL HOSPITAL,255 North 30th Street,,Laramie,ALBANY,WY,82072,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
FLOYD MEDICAL CENTER,304 Turner McCall Blvd,Pharmacy Department,Rome,FLOYD,GA,30165,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
KAISER PERM SANTA CLARA HOMESTEAD,700 LAWRENCE EXPY,PHARMACY,SANTA CLARA,SANTA CLARA,CA,95051,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM
ROME MEMORIAL HOSPITAL,1500 N JAMES ST,,ROME,ONEIDA,NY,13440,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM
