Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
HIGHLANDS ONCOLOGY- PARKWAY,3901 PARKWAY CIR,100,SPRINGDALE,WASHINGTON,AR,72762,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,01/19/2022 12:00:00 AM,384,157,01/26/2022 12:00:00 AM,,
ISLAND DRUG,32170 SR 20,,Oak Harbor,ISLAND,WA,98277,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,,1952302382
Walgreens Store #15915,250 CARR 153,,SANTA ISABEL,Santa Isabel,PR,00757,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,20,0,01/31/2022 12:00:00 AM,,1720476948
ROSEBUD HOSPITAL,400 Solder Creek dr,,ROSEBUD,TODD,SD,57570,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,01/26/2022 12:00:00 AM,120,,,,
673 MDSS/SGSM,Attn: Medical Supply,5955 Zeamer Avenue,JBER,ANCHORAGE,AK,99506,0069-1085-30,Paxlovid,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,,
NEAR NORTH HEALTH,1276 N. Clybourn,,CHICAGO,COOK,IL,60610,0069-1085-30,Paxlovid,01/17/2022 12:00:00 AM,01/21/2022 12:00:00 AM,80,,,POINT (-87.641841 41.905413),1437242385
Giant Eagle Inc.,41 Towne Center Drive,Giant Eagle Pharmacy #0041,Leechburg,ARMSTRONG,PA,15656,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,60,,,POINT (-79.611363 40.608133),1790790616
Rite Aid 07853,901 S SAINT MARYS STREET,,SAINT MARYS,ELK,PA,15857-2828,0006-5055-06,Molnupiravir,01/29/2022 12:00:00 AM,01/18/2022 12:00:00 AM,220,197,01/31/2022 12:00:00 AM,POINT (-78.560616 41.408144),
CVS Store #09494,35080 NEWARK BLVD,CVS Pharmacy,NEWARK,ALAMEDA,CA,94560,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,100,,,POINT (-122.048157 37.54995),1215970579
ST. JOSEPHS HOSPITAL AND MEDICAL C,350 W Thomas Rd.,,Phoenix,MARICOPA,AZ,85013,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,01/25/2022 12:00:00 AM,1344,480,01/24/2022 12:00:00 AM,POINT (-112.079431 33.480298),
Walgreens Store #11169,950 BEARDS HILL RD,,ABERDEEN,HARFORD,MD,21001,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,0,01/31/2022 12:00:00 AM,POINT (-76.183772 39.524259),1629224704
PHARMERICA HOUSTON,1289 N. Post Oak Road,Suite 130,Houston,HARRIS,TX,77055,0069-1085-30,Paxlovid,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,POINT (-95.457075 29.791859),
LEGACY SALMON CREEK HOSPITAL,2211 NE 139TH ST,,VANCOUVER,CLARK,WA,98686,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/18/2022 12:00:00 AM,192,,01/24/2022 12:00:00 AM,POINT (-122.649482 45.721824),
"V23 656 St. Cloud, MN",4801 VETERANS DRIVE,,SAINT CLOUD,STEARNS,MN,56303,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,POINT (-94.217407 45.567592),
Walmart Pharmacy #3509,11755 Beechnut St,,Houston,HARRIS,TX,77072,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,01/14/2022 12:00:00 AM,60,7,01/31/2022 12:00:00 AM,POINT (-95.586424 29.688818),1487671525
Walgreens Store #10276,3601 DAVIS DR,,MORRISVILLE,WAKE,NC,27560,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,40,0,01/31/2022 12:00:00 AM,POINT (-78.84803 35.821098),1093902652
9th Med Grp,15301 Warren Shingle Rd,Bldg 5700,Beale AFB,YUBA,CA,95903,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,40,,,POINT (-121.365619 39.112971),
CK PHARMACY,1110 kingwood Dr,#108,kingwood,HARRIS,TX,77339,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,,20,,,POINT (-95.239689 30.04932),1194333955
UHS PAVILION PHARMACY,4647 MEDICAL DR,,SAN ANTONIO,BEXAR,TX,78229,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,20,20,01/28/2022 12:00:00 AM,POINT (-98.576927 29.509562),1538445861
Walgreens Store #01078,2005 W COURT ST,,PASCO,FRANKLIN,WA,99301,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,40,0,01/31/2022 12:00:00 AM,POINT (-119.118103 46.241533),1558376541
Fort Belvoir Community Hospital,9300 Dewitt Loop,Loading Dock,Fort Belvoir,FAIRFAX,VA,22060,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,100,,,POINT (-77.142608 38.705877),
LTBB of Odawa Indians,1260 Ajijaak Ave,,Petoskey,EMMET,MI,49770,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,01/17/2022 12:00:00 AM,80,4,01/28/2022 12:00:00 AM,,1720360332
MAURY REGIONAL CANCER CENTER,808 South Campbell Blvd,Pharmacy,Columbia,MAURY,TN,38401,0310-7442-02,Evusheld,01/17/2022 12:00:00 AM,01/20/2022 12:00:00 AM,936,523,01/31/2022 12:00:00 AM,,
CVS Store #09761,2100 COLUMBUS PKWY,CVS Pharmacy,BENICIA,SOLANO,CA,94510,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,01/19/2022 12:00:00 AM,80,32,01/31/2022 12:00:00 AM,POINT (-122.192473 38.081331),1679767800
The Drug Store,111 Piute Dr,,Kernville,KERN,CA,93238,0006-5055-06,Molnupiravir,01/19/2022 12:00:00 AM,01/21/2022 12:00:00 AM,200,60,01/25/2022 12:00:00 AM,POINT (-118.425244 35.755357),
Walgreens Store #06715,1305 W UNIVERSITY BLVD,,ODESSA,ECTOR,TX,79764,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,160,189,01/31/2022 12:00:00 AM,POINT (-102.393596 31.865475),1720093735
HUGH CHATHAM MEMORIAL HOSPITAL,180 Parkwood Drive,,Elkin,SURRY,NC,28621,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,,20,,,POINT (-80.837504 36.261799),
MARKET STREET PHARMACY,3121 Sunset Drive,,San Angelo,TOM GREEN,TX,76904,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/19/2022 12:00:00 AM,40,33,01/31/2022 12:00:00 AM,POINT (-100.480514 31.422214),1164460523
MIDCOAST PHARMACY 1,1201 N Mechanic St,,El Campo,WHARTON,TX,77437,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,60,40,01/28/2022 12:00:00 AM,POINT (-96.277427 29.206004),1114599503
Walmart Pharmacy #465,305 10TH ST,,FLORESVILLE,WILSON,TX,78114,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/29/2022 12:00:00 AM,220,124,01/31/2022 12:00:00 AM,POINT (-98.177979 29.164112),1013934298
Rite Aid 06557,5075 OLIVEHURST AVENUE,,OLIVEHURST,YUBA,CA,95961-4023,0006-5055-06,Molnupiravir,01/29/2022 12:00:00 AM,01/20/2022 12:00:00 AM,100,59,01/31/2022 12:00:00 AM,POINT (-121.551235 39.101173),
KAISER SC - BALDWIN PARK MEDICAL CE,1011 BALDWIN PARK BLVD.,MOB 1 PHCY 552,BALDWIN PARK,LOS ANGELES,CA,91706,0069-1085-30,Paxlovid,01/18/2022 12:00:00 AM,01/24/2022 12:00:00 AM,60,25,01/29/2022 12:00:00 AM,POINT (-117.984617 34.064672),
ASCENSION RX 1107,3237 S 16TH ST RM 121,,MILWAUKEE,MILWAUKEE,WI,53215,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,40,20,01/31/2022 12:00:00 AM,POINT (-87.933837 42.98536),1407924129
Walmart Pharmacy #3746,412 Bert Kouns Industrial Loop,,Shreveport,CADDO,LA,71106,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,,20,,,POINT (-93.765713 32.398323),1437521879
UPPER CONNECTICUT VALLEY HOSPITAL,181 Corliss Lane,,COLEBROOK,COOS,NH,03576,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,60,38,01/31/2022 12:00:00 AM,,
Sanilac Pharmacy,78 S Elk St,,Sandusky,SANILAC,MI,48471,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/17/2022 12:00:00 AM,140,,,POINT (-82.82985 43.418951),
"Mahendra Narendran, MD",1669 Davie Ave,,Statesville,IREDELL,NC,28677,0006-5055-06,Molnupiravir,01/25/2022 12:00:00 AM,,40,,,POINT (-80.866 35.799581),1316074693
Walgreens Store #15000,153 MAIN ST,,LINCOLN PARK,MORRIS,NJ,07035,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,40,0,01/31/2022 12:00:00 AM,POINT (-74.308208 40.922893),1750523726
Rite Aid 05893,2150 ROOSEVELT AVENUE,,REDWOOD CITY,SAN MATEO,CA,94061-1304,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,01/04/2022 12:00:00 AM,60,51,01/31/2022 12:00:00 AM,POINT (-122.241828 37.466097),
Walgreens Store #10615,5345 N I H 35,,AUSTIN,TRAVIS,TX,78723,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,60,17,01/31/2022 12:00:00 AM,POINT (-97.708174 30.312999),1225043276
Avamere Three Fountains,2920 Chad Dr.,,Eugene,LANE,OR,97408,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/21/2022 12:00:00 AM,40,,01/27/2022 12:00:00 AM,POINT (-123.059878 44.089101),
HEARTLAND REG MED CTR,5325 FARAON ST,,SAINT JOSEPH,BUCHANAN,MO,64506,0310-7442-02,Evusheld,01/11/2022 12:00:00 AM,01/18/2022 12:00:00 AM,216,96,01/24/2022 12:00:00 AM,POINT (-94.77025 39.770201),
Brookshire Grocery Company,1705 W AUDIE MURPHY PKWY,BROOKSHIRE PHARMACY #79,FARMERSVILLE,COLLIN,TX,75442,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/28/2022 12:00:00 AM,140,19,01/27/2022 12:00:00 AM,POINT (-96.388989 33.158837),
DOCTORS HOSPITAL OF LAREDO,10700 MCPHERSON RD,,LAREDO,WEBB,TX,78045,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/19/2022 12:00:00 AM,192,,,POINT (-99.47629 27.607181),
"V15 589A6 Leavenworth, KS",4101 4th Street Trafficway,Pharmacy (Main Hospital) B237,LEAVENWORTH,LEAVENWORTH,KS,66048,0006-5055-06,Molnupiravir,01/06/2022 12:00:00 AM,01/11/2022 12:00:00 AM,40,,,POINT (-94.899906 39.278151),
Walmart Pharmacy #3302,9460 W Sam Houston Pkwy S,,Houston,HARRIS,TX,77099,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/17/2022 12:00:00 AM,120,51,01/31/2022 12:00:00 AM,POINT (-95.559788 29.67963),1184641243
CVS Store #02989,4755 WEST ANN RD.,CVS Pharmacy,NORTH LAS VEGAS,CLARK,NV,89031,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/14/2022 12:00:00 AM,80,39,01/31/2022 12:00:00 AM,POINT (-115.206558 36.261537),1578663910
Walmart Pharmacy #610,2765 W Washington St,,Stephenville,ERATH,TX,76401,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/17/2022 12:00:00 AM,160,0,01/26/2022 12:00:00 AM,POINT (-98.233273 32.205995),1467479634
KAWEAH HEALTH PHARMACY,202 W Willow Ave Suite 102,,Visalia,TULARE,CA,93291,0006-5055-06,Molnupiravir,01/19/2022 12:00:00 AM,01/25/2022 12:00:00 AM,120,60,01/25/2022 12:00:00 AM,POINT (-119.293762 36.328323),1659735132
1st Special Ops,131 Howie Walters RD,Bldg 91042,Hurlburt Field,OKALOOSA,FL,32544,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,,,,
HCA CORPUS CHRISTI MEDICAL CENTER,3315 S ALAMEDA ST,,CORPUS CHRISTI,NUECES,TX,78411,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/20/2022 12:00:00 AM,144,48,01/05/2022 12:00:00 AM,POINT (-97.387828 27.753559),
Walmart Pharmacy #813,401 W Commerce St,,Brownwood,BROWN,TX,76801,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,01/14/2022 12:00:00 AM,80,0,01/20/2022 12:00:00 AM,POINT (-98.98283 31.728608),1740207984
BELLIN MEMORIAL HOSPITAL INC COVID,744 S WEBSTER AVE,,GREEN BAY,BROWN,WI,54301,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,20,20,01/28/2022 12:00:00 AM,POINT (-88.010691 44.502022),1891740585
PRICE PHARMACY INC,422 US HWY 29 N,,CHINA GROVE,ROWAN,NC,28023,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,01/10/2022 12:00:00 AM,40,12,01/28/2022 12:00:00 AM,POINT (-80.575412 35.566627),1396984522
Bluffton Regional Medical Center,303 S Main Street,,Bluffton,WELLS,IN,46714,0069-1085-30,Paxlovid,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,40,0,01/11/2022 12:00:00 AM,POINT (-85.171496 40.737431),
RANDALLS PHARMACY,5586 WESLAYAN ST,,Houston,HARRIS,TX,77005,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/18/2022 12:00:00 AM,60,60,01/31/2022 12:00:00 AM,POINT (-95.441359 29.722182),1013946086
CVS Store #09848,20 E ORANGE GROVE BLVD.,CVS Pharmacy,PASADENA,LOS ANGELES,CA,91103,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,180,,,POINT (-118.150036 34.157805),1972548774
SCMC Van Nuys,14550 Haynes st,3rd Floor,Van Nuys,LOS ANGELES,CA,91411,0069-1085-30,Paxlovid,01/18/2022 12:00:00 AM,01/21/2022 12:00:00 AM,200,115,01/28/2022 12:00:00 AM,POINT (-118.450631 34.189686),1255729661
Millers Pharmacy Inc,Home Plaza,41857 Route 6,Wyalusing,BRADFORD,PA,18853,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,220,158,01/14/2022 12:00:00 AM,,1467573840
COMMUNITY HOSPITAL OF BREMEN,1020 HIGH ROAD,,BREMEN,MARSHALL,IN,46506,0069-1085-30,Paxlovid,01/13/2022 12:00:00 AM,01/17/2022 12:00:00 AM,60,28,01/31/2022 12:00:00 AM,POINT (-86.158489 41.457098),
HCA HOUSTON HEALTHCARE PEARLAND,11100 Shadow Creek Parkway,,Pearland,BRAZORIA,TX,77584,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/19/2022 12:00:00 AM,96,48,01/21/2022 12:00:00 AM,POINT (-95.39111 29.580088),1609275585
Ft Campbell - Blanchfield,MEDDAC BLDG 650,RM 1BG-01,FORT CAMPBELL,CHRISTIAN,KY,42223-5529,0006-5055-06,Molnupiravir,01/06/2022 12:00:00 AM,01/12/2022 12:00:00 AM,100,,,,
Walmart Pharmacy #796,5307 State Route 251,,Peru,LA SALLE,IL,61354,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,01/19/2022 12:00:00 AM,100,9,01/31/2022 12:00:00 AM,POINT (-89.12288 41.37194),1538187042
OLMSTED MEDICAL CENTER - HOSPITAL,1650 4TH ST SE,OLMSTED HOSPITAL PHARMACY,ROCHESTER,OLMSTED,MN,55904,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,80,,,POINT (-92.439807 44.021006),
THE HEALTH WAGON WISE,208W Front Street,,Coeburn,WISE,VA,24230,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,400,,,POINT (-82.472039 36.942095),
LEGACY MEDICAL GROUP WOODBURN HEALT,1475 Mt Hood Ave,,Woodburn,MARION,OR,97071,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/21/2022 12:00:00 AM,40,,,POINT (-122.836173 45.151435),
KROGER PHARMACY 03400331,12620 WOODFOREST BLVD STE 200,,HOUSTON,HARRIS,TX,77015,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,40,38,01/31/2022 12:00:00 AM,POINT (-95.200529 29.79138),1881767309
Providence Mission Hospital,27700 Medical Center Rd,,Mission Viejo,ORANGE,CA,92691,0310-7442-02,Evusheld,01/28/2022 12:00:00 AM,01/26/2022 12:00:00 AM,672,48,01/03/2022 12:00:00 AM,POINT (-117.666045 33.560152),
RIVERVIEW MEDICAL CENTER,1 RIVERVIEW PLZ,,RED BANK,MONMOUTH,NJ,07701,0310-7442-02,Evusheld,01/12/2022 12:00:00 AM,01/18/2022 12:00:00 AM,144,72,01/28/2022 12:00:00 AM,POINT (-74.06343 40.353746),1336147834
UF HEALTH PHARMACY GNV,1600 SW ARCHER RD,RM DG-16 PHARMACY STORES,GAINESVILLE,ALACHUA,FL,32610,0310-7442-02,Evusheld,01/14/2022 12:00:00 AM,01/20/2022 12:00:00 AM,1656,838,01/28/2022 12:00:00 AM,POINT (-82.343465 29.639183),1699874248
MONTROSS PHARMACY INC,118-120 N FIRST AVENUE,,WINTERSET,MADISON,IA,50273,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,01/19/2022 12:00:00 AM,40,20,01/23/2022 12:00:00 AM,POINT (-94.014568 41.335144),1952490500
North Mississippi Medical Center,990 South Madison St.   Suite 2,,Tupelo,LEE,MS,38801,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,300,190,01/28/2022 12:00:00 AM,POINT (-88.713023 34.238839),
AURORA RETAIL PHARMACY 1032,210 WISCONSIN AMERICAN DR,STE 240,FOND DU LAC,FOND DU LAC,WI,54937,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,80,36,01/28/2022 12:00:00 AM,POINT (-88.397265 43.781806),1518991736
Walgreens Store #19513,109 S VAN BUREN RD,,EDEN,ROCKINGHAM,NC,27288,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,40,0,01/31/2022 12:00:00 AM,POINT (-79.742873 36.500676),1932627734
Nisqually Tribal Health Center,4840 Journey Rd SE,,OLYMPIA,THURSTON,WA,98513,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,,40,,,,1952623027
Pharmerica Reno,4690 Longley Lane,#204,Reno,WASHOE,NV,89502,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,01/05/2022 12:00:00 AM,40,,,POINT (-119.757519 39.489692),
KROGER PHARMACY 03500586,1592 S LOOP 288,,DENTON,DENTON,TX,76205,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,100,61,01/31/2022 12:00:00 AM,POINT (-97.094584 33.194006),1396818829
H.C. Watkins Memorial Hospital,605 South Archusa Avenue,,Quitman,CLARKE,MS,39355,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,01/17/2022 12:00:00 AM,80,60,01/31/2022 12:00:00 AM,POINT (-88.727955 32.031229),
Rite Aid 04960,2470 BEDFORD STREET,,JOHNSTOWN,CAMBRIA,PA,15904-1436,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/18/2022 12:00:00 AM,220,220,01/31/2022 12:00:00 AM,POINT (-78.870078 40.294945),
