Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address
PharMerica Louisville,12100 Plantside Drive,,Louisville,JEFFERSON,KY,40299,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,60,60,01/06/2022 12:00:00 AM,
Walmart Pharmacy #403,13675 Highway 43,,Russellville,FRANKLIN,AL,35653,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,,,POINT (-87.726838 34.493729)
Walgreens Store #00055,2505 CARR 841,,GUAYNABO,Guaynabo,PR,969,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,12,01/06/2022 12:00:00 AM,
MEYER PHARMACY,110 10TH ST SW,,WAVERLY,BREMER,IA,50677,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,120,,,
CVS Store #05544,100 EDGEWOOD DR.,CVS Pharmacy,PINEVILLE,RAPIDES,LA,71360,0006-5055-06,Molnupiravir,01/05/2022 12:00:00 AM,,40,,,POINT (-92.399085 31.33346)
Walmart Pharmacy #4330,16077 Highway 280,,Chelsea,SHELBY,AL,35043,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.619626 33.349864)
DANA FARBER CANCER INSTITUTE - ADUl,450 BROOKLINE AVE # YC537,,BOSTON,SUFFOLK,MA,2215,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,144,81,01/06/2022 12:00:00 AM,POINT (-71.108326 42.337944)
HARVEST DRUG and GIFT,4426 Kell Blvd,,Wichita Falls,WICHITA,TX,76309,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,3,01/06/2022 12:00:00 AM,POINT (-98.556848 33.876607)
"V08 672 San Juan, PR",10 CALLE CASIA,Pharmacy Service,SAN JUAN,San Juan,PR,921,0069-1085-30,Paxlovid,01/03/2022 12:00:00 AM,,20,,,POINT (-66.080416 18.392008)
LGH-LANCASTER GENERAL HOSPITAL,555 N. DUKE ST,PHARMACY DEPT,LANCASTER,LANCASTER,PA,17602,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,216,,,POINT (-76.305328 40.046975)
PORTNEUF MEDICAL CENTER,777 Hospital Way,,Pocatello,BANNOCK,ID,83201,0310-7442-02,Evusheld,01/06/2022 12:00:00 AM,,72,24,12/28/2021 12:00:00 AM,POINT (-112.4189 42.872621)
EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,,EL CENTRO,IMPERIAL,CA,92243,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-115.56862 32.781498)
SAV-ON PHARMACY,11720 W. CHARLESTON BLVD.,,Las Vegas,CLARK,NV,89135,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,120,,,POINT (-115.351006 36.159043)
Walgreens Store #05160,6812 N LAMAR BLVD,,AUSTIN,TRAVIS,TX,78752,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,6,01/06/2022 12:00:00 AM,POINT (-97.719657 30.336661)
DEPARTMENT OF STATE HOSPITALS - COA,24511 W JAYNE AVE,,COALINGA,FRESNO,CA,93210,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,20,,,
IVINSON MEMORIAL HOSPITAL,255 North 30th Street,,Laramie,ALBANY,WY,82072,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-105.557514 41.311605)
SAFEWAY PHARMACY,400 N RUBY ST,,Ellensburg,KITTITAS,WA,98926,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-120.544583 46.996062)
"V15 657A5 Marion, IL",2401 W MAIN ST,,MARION,WILLIAMSON,IL,62959,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,,24,,,POINT (-88.95713 37.729786)
CVS Store #05809,4775 W. ROSECRANS AVE.,CVS Pharmacy,HAWTHORNE,LOS ANGELES,CA,90250,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,20,9,01/06/2022 12:00:00 AM,POINT (-118.360333 33.901876)
Walmart Pharmacy #5105,10 Riverton Commons Dr,,Front Royal,WARREN,VA,22630,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-78.18774 38.96171)
ST JOSEPH HOSPITAL,172 KINSLEY ST,PHARMACY,NASHUA,HILLSBOROUGH,NH,3060,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,,,POINT (-71.480127 42.750352)
Clackamas County Health Centers BC,"110 Beavercreek Rd, Suite 100",,Oregon City,CLACKAMAS,OR,97045,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-122.598414 45.33452)
COMMUNITY PHARMACY INC,100 Independent Way,,Brewster,PUTNAM,NY,10509,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,3,01/06/2022 12:00:00 AM,POINT (-73.629123 41.418887)
LUTHERAN HOSPITAL,7950 W. JEFFERSON BLVD.,,FORT WAYNE,ALLEN,IN,46804,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM,,48,48,01/06/2022 12:00:00 AM,POINT (-85.245539 41.037621)
Cys Elma Pharmacy,2317 Bowen Rd,,Elma,ERIE,NY,14059,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,0,01/06/2022 12:00:00 AM,POINT (-78.636859 42.83409)
Maui Health COVID,221 Mahalani Street,,Wailuku,MAUI,HI,96793,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,24,12/30/2021 12:00:00 AM,POINT (-156.488087 20.884455)
DRIPPING SPRINGS PHARMACY,100 COMMONS ROAD SUITE 1,,DRIPPING SPRINGS,HAYS,TX,78620,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,40,,,POINT (-98.084686 30.192301)
Giant Eagle Inc.,4010 Monroeville Boulevard,Giant Eagle Pharmacy #0060,Monroeville,ALLEGHENY,PA,15146,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,,POINT (-79.771861 40.435898)
Georgetown Drug Company,1080 King George Boulevard,,Savannah,CHATHAM,GA,31419,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,160,,,POINT (-81.221481 31.983975)
MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,ATTENTION INPATIENT PHARMACY,DES MOINES,POLK,IA,50314,0069-1085-30,Paxlovid,12/30/2021 12:00:00 AM,,100,,,POINT (-93.62568 41.598048)
Walmart Pharmacy #5113,165 Vaughan Ln,,Pell City,SAINT CLAIR,AL,35125,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.279977 33.609874)
Walmart Pharmacy #5197,330 Sutton Rd SE,,Owens Cross Roads,MADISON,AL,35763,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.48702 34.65999)
Weis Markets Inc,1100 N FOURTH STREET,Weis Pharmacy #36,SUNBURY,NORTHUMBERLAND,PA,17801,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,40,,,POINT (-76.784799 40.873019)
AURORA RETAIL PHARMACY 1157,1910 ALABAMA ST,,STURGEON BAY,DOOR,WI,54235,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,40,,,POINT (-87.347841 44.849724)
LAKE HILLS PHARMACY,12005 BEE CAVE RD,SUITE 1A,Austin,TRAVIS,TX,78738,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,19,01/06/2022 12:00:00 AM,POINT (-97.926258 30.308471)
Adams Family Pharmacy,98 Peachtree Street,,Cuthbert,BEN HILL,GA,39840,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,160,,,POINT (-84.788849 31.771435)
GREATER NEW BEDFORD COMM HLTH CTR,874 PURCHASE ST,,New Bedford,BRISTOL,MA,2740,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,,POINT (-70.926197 41.636186)
HIGH DESERT MEDICAL GROUP,43839 15TH ST W,,LANCASTER,LOS ANGELES,CA,93534,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,60,,,POINT (-118.156857 34.678598)
HOGANS PHARMACY,815 W FRONT ST,,LILLINGTON,HARNETT,NC,27546,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,40,,,POINT (-78.828352 35.402027)
Hilo Medical Center,1190 WAIANUENUE AVENUE,,Hilo,HAWAII,HI,96720,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,20,0,01/06/2022 12:00:00 AM,POINT (-155.112892 19.717551)
Kokua Kalihi Valley,2239 NORTH SCHOOL STREET,,Honolulu,HONOLULU,HI,96819,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,40,,,POINT (-157.874274 21.340702)
POPLAR BLF REG MED CNTR OAK GROVE,3100 OAK GROVE RD,,POPLAR BLUFF,BUTLER,MO,63901-1573,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,72,,,POINT (-90.443287 36.788987)
Prov St Josephs HC Disney FCC,501 S. Buena Vista St,Main Pharmacy,Burbank,LOS ANGELES,CA,91505,0310-7442-02,Evusheld,01/02/2022 12:00:00 AM,,480,239,01/05/2022 12:00:00 AM,POINT (-118.327825 34.157613)
STE GENEVIEVE CO MEM HOSP,800 STE GENEVIEVE DR,GENEVIEVE,SAINTE GENEVIEVE,SAINTE GENEVIEVE,MO,63670-1434,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,,POINT (-90.053968 37.968347)
Walgreens Store #09449,701 E RIDGE RD,,MCALLEN,HIDALGO,TX,78503,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,0,01/06/2022 12:00:00 AM,POINT (-98.215219 26.184696)
Irwins Pharmacy and Drug,4300 INDIAN RIVER RD,,Chesapeake,CHESAPEAKE CITY,VA,23325,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,40,,,POINT (-76.225821 36.820734)
GUNDERSEN HEALTH LA CROSSE - COVID,1910 SOUTH AVENUE,,LA CROSSE,LA CROSSE,WI,54601,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,100,,,
NORTHWESTERN MEMORIAL HOSPITAL,715  N. ST. Claire,Pharmacy Feinberg LC-704,Chicago,COOK,IL,60611,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,48,,,
AURORA RETAIL PHARMACY 1105,16985 W BLUEMOUND RD,STE 100,BROOKFIELD,WAUKESHA,WI,53005,0069-1085-30,Paxlovid,01/03/2022 12:00:00 AM,,20,,,POINT (-88.123966 43.036843)
Meijer Store 158,1997 E BELTLINE AVE NE,,Grand Rapids,KENT,MI,49525,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/06/2022 12:00:00 AM,POINT (-85.590477 42.997679)
KROGER PHARMACY 03500456,2709 CROSS TIMBERS RD,STE A,FLOWER MOUND,DENTON,TX,75028,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,40,,,POINT (-97.071996 33.036248)
Giant Eagle Inc.,6204 State Route 30,Giant Eagle Pharmacy #0009,Greensburg,WESTMORELAND,PA,15601,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,120,,,POINT (-79.592831 40.305646)
CVS Store #06712,"292 VAN BUREN ST., SOUTH",CVS Pharmacy,NASHVILLE,BROWN,IN,47448,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,40,01/06/2022 12:00:00 AM,POINT (-86.246988 39.202909)
Rite Aid 05945,2021 SOLANO AVENUE,,VALLEJO,SOLANO,CA,94590-6456,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-122.232829 38.104883)
LAURAS PHARMACY,232 W MAIN ST,,AZLE,TARRANT,TX,76020,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,40,0,01/05/2022 12:00:00 AM,POINT (-97.545459 32.893157)
METHODIST HOSPITALS - NORTHLAKE,600 GRANT STREET,,GARY,LAKE,IN,46402,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,20,01/05/2022 12:00:00 AM,POINT (-87.357023 41.599436)
SAFEWAY PHARMACY,1855 WISCONSIN AVE NW,,Washington,DISTRICT OF COLUMBIA,DC,20007,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,60,54,01/06/2022 12:00:00 AM,POINT (-77.067708 38.915624)
MERCYONE DES MOINES MEDICAL CENTER,1111 6TH AVE,ATTENTION INPATIENT PHARMACY,DES MOINES,POLK,IA,50314,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,320,,,POINT (-93.62568 41.598048)
Walmart Pharmacy #3279,2100 SE LOOP 410,,SAN ANTONIO,BEXAR,TX,78220,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,,,POINT (-98.388687 29.400425)
CVS Store #09714,26861 SIERRA HWY,CVS Pharmacy,SANTA CLARITA,LOS ANGELES,CA,91321,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,20,0,01/06/2022 12:00:00 AM,
Walgreens Store #03727,1919 N DOBSON RD,,CHANDLER,MARICOPA,AZ,85224,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,140,0,01/06/2022 12:00:00 AM,POINT (-111.876366 33.334532)
Walgreens Store #00361,4145 AVE ARCADIO ESTRADA,,SAN SEBASTIAN,San Sebastian,PR,685,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,10,01/06/2022 12:00:00 AM,
CINCINNATI CHILDRENS MED CTR,3333 Burnet Avenue,,Cincinnati,HAMILTON,OH,45229,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,72,,,POINT (-84.500402 39.140936)
Walgreens Store #06753,8045 N LOOP DR,,EL PASO,EL PASO,TX,79915,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,220,01/06/2022 12:00:00 AM,POINT (-106.348694 31.729081)
MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,ATTN: INPATIENT PHARMACY,HAGERSTOWN,WASHINGTON,MD,21742,0310-7442-02,Evusheld,01/05/2022 12:00:00 AM,,120,96,01/06/2022 12:00:00 AM,POINT (-77.683047 39.623656)
VIDANT MEDICAL CENTER,Department of Pharmacy,2100 Stantonsburg Road,Greenville,PITT,NC,27835,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,,192,216,01/06/2022 12:00:00 AM,
CVS Store #05350,182 SOUTH RIDGE ST,CVS Pharmacy,RYE BROOK,WESTCHESTER,NY,10573,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,40,0,01/06/2022 12:00:00 AM,POINT (-73.681012 41.002152)
RIVERSIDE REGIONAL MEDICAL CTR,500 J CLYDE MORRIS BLVD,ATTN:  INPATIENT PHARMACY,NEWPORT NEWS,NEWPORT NEWS CITY,VA,23601,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,100,,,POINT (-76.4854 37.06389)
SAV-ON PHARMACY,450 N WILBUR AVE,,Walla Walla,WALLA WALLA,WA,99362,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-118.304629 46.07662)
BETH ISRAEL DEACONESS MEDICAL CENTE,330 Brookline Avenue,,Boston,SUFFOLK,MA,2215,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,980,,,POINT (-71.105498 42.340581)
SAFEWAY PHARMACY,735 NW Gilman Blvd,,Issaquah,KING,WA,98027,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.046997 47.543135)
Walgreens Store #04566,2700 JOHNSTON ST,,LAFAYETTE,LAFAYETTE,LA,70503,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,0,01/06/2022 12:00:00 AM,POINT (-92.038896 30.207003)
Walmart Pharmacy #866,5245 Rangeline Service Rd S,,Mobile,MOBILE,AL,36619,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-88.162737 30.596154)
BRYAN MEDICAL CENTER WEST CAMPUS,2300 S. 16th St.,,Lincoln,LANCASTER,NE,68502,0310-7442-02,Evusheld,12/18/2021 12:00:00 AM,,24,7,01/06/2022 12:00:00 AM,POINT (-96.699047 40.790004)
Walmart Pharmacy #3419,6756 W Vickery Blvd,,Fort Worth,TARRANT,TX,76116,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-97.427351 32.702281)
SAFEWAY PHARMACY,2201 E MADISON ST,,Seattle,KING,WA,98112,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.303817 47.618313)
WILLIAMSBURG DRUG COMPANY INC,240 MCLAWS CIRCLE,,WILLIAMSBURG,JAMES CITY,VA,23185,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,40,,,POINT (-76.660326 37.246714)
SAV-ON PHARMACY,427 E. FM 1382,,Cedar Hill,DALLAS,TX,75104,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,0,01/05/2022 12:00:00 AM,POINT (-96.937035 32.59212)
PHARMERICA-SACRAMENTO,1214 N. Market Blvd,STE C,Sacramento,SACRAMENTO,CA,95834,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,80,0,01/05/2022 12:00:00 AM,POINT (-121.48919 38.646728)
CHAMPLAIN VALLEY PHY HSP,75 BEEKMAN ST,Department of Pharmacy Services,PLATTSBURGH,CLINTON,NY,12901-0000,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,48,,,POINT (-73.466695 44.700423)
NORTHERN WESTCHESTER HOSPITAL,400 East Main STREET,,Mount Kisco,WESTCHESTER,NY,10549,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM,,24,24,12/30/2021 12:00:00 AM,POINT (-73.724453 41.196659)
ASHTABULA CO MEDICAL CENTER (ACMC),2420 LAKE AVENUE,Department of Pharmacy,ASHTABULA,ASHTABULA,OH,44004,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,60,60,01/06/2022 12:00:00 AM,POINT (-80.795674 41.880148)
FAYETTE COUNTY MEMORIAL,1430 Columbus Avenue,,Washington Court House,FAYETTE,OH,43160,0310-7442-02,Evusheld,01/05/2022 12:00:00 AM,,24,,,POINT (-83.425478 39.548262)
Ingles Pharmacy 003,915 Merrimon Ave,,Asheville,BUNCOMBE,NC,28804,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,0,01/04/2022 12:00:00 AM,POINT (-82.552823 35.629957)
OLIVE VIEW UCLA MEDICAL CENTER,14445 OLIVE VIEW DR Room1C-101,Attention IN-Patient PHARMACY,LOS ANGELES,LOS ANGELES,CA,91342,0310-7442-02,Evusheld,01/02/2022 12:00:00 AM,,96,48,01/06/2022 12:00:00 AM,POINT (-118.449651 34.324104)
Walmart Pharmacy #298,1972 US Highway 431,,Boaz,MARSHALL,AL,35957,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,,,POINT (-86.156304 34.214019)
Walmart Pharmacy #999,7239 SW Loop 410,,San Antonio,BEXAR,TX,78242,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-98.632774 29.359611)
KNOX COMMUNITY HOSPITAL,1330 Coshocton Ave.,Dept of Pharmacy - 3rd Floor,Mount Vernon,KNOX,OH,43050,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,,POINT (-82.45093 40.401227)
Walmart Pharmacy #1063,1608 W Magnolia Ave,,Geneva,GENEVA,AL,36340,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,,,POINT (-85.899492 31.049559)
BROOKSHIRES PHARMACY 270,1380 N MAIN ST,1380 N Main,Vidor,ORANGE,TX,77662,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-94.016315 30.144113)
Brookshire Grocery Company,213 NORTH US HWY 69,BROOKSHIRE PHARMACY #70,BULLARD,SMITH,TX,75757,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-95.312803 32.142603)
Rite Aid 06481,32450 CLINTON KEITH ROAD,,WILDOMAR,RIVERSIDE,CA,92595-8662,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,100,01/06/2022 12:00:00 AM,POINT (-117.251884 33.589602)
ST DOMINIC JACKSON MEMORIAL HOSP,969 LAKELAND DRIVE,,JACKSON,HINDS,MS,39216,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,48,48,01/06/2022 12:00:00 AM,POINT (-90.165103 32.333691)
Meijer Store 021,5800 Gull Road,,Kalamazoo,KALAMAZOO,MI,49048,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/06/2022 12:00:00 AM,POINT (-85.517392 42.3255)
CVS Store #06673,200 WEST JACKSON STREET,CVS Pharmacy,ATTICA,FOUNTAIN,IN,47918,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,40,40,01/06/2022 12:00:00 AM,POINT (-87.252002 40.293403)
MIDDLESEX HOSPITAL,28 CRESCENT ST,,MIDDLETOWN,MIDDLESEX,CT,06457-3654,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,,20,17,01/06/2022 12:00:00 AM,POINT (-72.647938 41.55479)
SAFEWAY PHARMACY,1423 Nw Market St.,,Seattle,KING,WA,98107,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.37485 47.66865)
RANDALLS PHARMACY,10900 Research Blvd Ste D,,Austin,TRAVIS,TX,78759,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,20,01/06/2022 12:00:00 AM,POINT (-97.746124 30.401922)
Meijer Store 194,1167 East Clinton Trail,,Charlotte,EATON,MI,48813,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/06/2022 12:00:00 AM,POINT (-84.813841 42.553126)
SSM HLTH ST JOSEPH HOSP-ST CHARLES,300 FIRST CAPITOL DR,,SAINT CHARLES,SAINT CHARLES,MO,63301,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,168,,,POINT (-90.484635 38.780418)
Meijer Store 108,7300 EASTMAN AVE,,Midland,MIDLAND,MI,48642,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,40,01/06/2022 12:00:00 AM,POINT (-84.247125 43.662933)
Walmart Pharmacy #5962,4716 Hondo Pass Dr,,El Paso,EL PASO,TX,79904,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,,POINT (-106.432203 31.869794)
Walmart Pharmacy #4108,4870 Elm Springs Rd,,Springdale,WASHINGTON,AR,72762,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,,,POINT (-94.184062 36.193367)
KAISER FDN HOSPITAL - SAN LEANDRO,2500 Merced Street,Inpatient Pharmacy,San Leandro,ALAMEDA,CA,94577,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,80,,,POINT (-122.169447 37.706524)
CVS Store #09818,572 FLETCHER PKWY,CVS Pharmacy,EL CAJON,SAN DIEGO,CA,92020,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,240,240,01/06/2022 12:00:00 AM,POINT (-116.969022 32.807782)
"V09 614 Memphis, TN",1030 JEFFERSON AVE,Pharmacy (119),MEMPHIS,SHELBY,TN,38104,0069-1085-30,Paxlovid,01/03/2022 12:00:00 AM,,20,,,POINT (-90.026184 35.142554)
Walmart Pharmacy #764,750 Academy Dr,,Bessemer,JEFFERSON,AL,35022,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,,20,,,POINT (-86.99877 33.361725)
SAFEWAY PHARMACY,1109  YELM AVE E,,Yelm,THURSTON,WA,98597,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.594682 46.935565)
CVS Store #09167,790 JAMACHA RD,CVS Pharmacy,EL CAJON,SAN DIEGO,CA,92019,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,20,,,POINT (-116.927918 32.785678)
Walmart Pharmacy #5734,750 Lynn Garden Dr,,Kingsport,SULLIVAN,TN,37660,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,120,,,POINT (-82.56665 36.562511)
