2022-01-11T08-35-31,95476,SONOMA VALLEY HOSPITAL,01/05/2022 12:00:00 AM,,48,,
2022-06-25T04-15-18,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-26T04-15-17,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-27T04-15-31,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,16,06/20/2022 12:00:00 AM
2022-06-28T04-15-44,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,06/27/2022 12:00:00 AM
2022-07-07T04-15-17,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-09T04-15-19,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-10T04-15-26,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-11T04-15-25,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-12T04-15-22,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/06/2022 12:00:00 AM
2022-07-13T04-15-22,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/12/2022 12:00:00 AM
2022-07-15T04-15-46,95476,SONOMA VALLEY HOSPITAL,NLP,NLP,NLP,15,07/12/2022 12:00:00 AM
