2022-01-12T08-07-48,96970,EBEYE COMMUNITY HEALTH CENTER,01/07/2022 12:00:00 AM,,24,,
2022-03-03T10-04-44,96970,EBEYE COMMUNITY HEALTH CENTER,01/12/2022 12:00:00 AM,01/21/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,96970,EBEYE COMMUNITY HEALTH CENTER,01/12/2022 12:00:00 AM,01/21/2022 12:00:00 AM,48,,
2022-06-09T04-15-20,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-09T04-15-20,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-10T04-15-36,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-10T04-15-36,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-11T04-15-14,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-11T04-15-14,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-12T04-15-15,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-12T04-15-15,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-13T04-15-40,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-13T04-15-40,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-14T04-15-16,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-14T04-15-16,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-15T04-15-27,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-15T04-15-27,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-16T04-15-45,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-16T04-15-45,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-17T04-15-27,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-17T04-15-27,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-18T04-15-18,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-18T04-15-18,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-19T04-15-29,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-19T04-15-29,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-20T04-15-58,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-20T04-15-58,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-21T04-15-35,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-21T04-15-35,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-22T04-15-20,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-22T04-15-20,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-23T04-15-16,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-23T04-15-16,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-24T04-15-26,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-24T04-15-26,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-25T04-15-18,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-25T04-15-18,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-26T04-15-17,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-26T04-15-17,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-27T04-15-31,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-27T04-15-31,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
2022-06-28T04-15-44,96970,Ministry of Health and Human,NLP,NLP,NLP,,
2022-06-28T04-15-44,96970,EBEYE HOSPITAL,NLP,NLP,NLP,,
