2022-01-26T07-35-52,74127,OSU MED CTR,01/20/2022 12:00:00 AM,,24,,
2022-03-21T06-11-50,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,74127,OSU MED CTR,NLP,NLP,NLP,72,03/14/2022 12:00:00 AM
2022-03-29T08-50-48,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-11T07-06-23,74127,OSU MED CTR,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-07-01T04-15-22,74127,OSU MED CTR,NLP,NLP,NLP,72,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,74127,OSU MED CTR,NLP,NLP,NLP,72,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,74127,OSU MED CTR,NLP,NLP,NLP,72,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,74127,OSU MED CTR,NLP,NLP,NLP,72,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,74127,OSU MED CTR,NLP,NLP,NLP,72,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,74127,OSU MED CTR,NLP,NLP,NLP,72,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,74127,OSU MED CTR,NLP,NLP,NLP,72,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,74127,OSU MED CTR,NLP,NLP,NLP,72,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,74127,OSU MED CTR,NLP,NLP,NLP,72,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,74127,OSU MED CTR,NLP,NLP,NLP,72,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,74127,OSU MED CTR,NLP,NLP,NLP,72,07/07/2022 12:00:00 AM
