2022-03-08T14-40-56,73448,MERCY HEALTH LOVE COUNTY - RHC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,48,35,03/03/2022 12:00:00 AM
2022-04-02T06-05-59,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-10T09-31-27,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-11T07-06-23,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-12T07-06-55,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-13T09-20-57,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-13T11-55-39,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-14T09-18-06,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-15T06-03-51,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-16T05-33-42,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-17T05-32-24,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-18T05-31-10,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-19T05-39-24,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-20T05-27-37,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-21T05-29-54,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-22T05-26-18,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-23T05-25-10,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-24T05-22-24,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-25T05-22-33,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-26T05-20-54,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-27T05-23-49,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-28T09-22-45,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-04-29T05-13-54,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-07-21T04-15-40,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,71,07/20/2022 12:00:00 AM
2022-07-22T04-15-29,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,71,07/20/2022 12:00:00 AM
2022-07-23T04-15-20,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,71,07/20/2022 12:00:00 AM
