2022-03-08T14-40-56,97206,GOLDEN DAWN CLINIC PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-04-30T05-15-55,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,17,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,05/07/2022 12:00:00 AM
2022-05-10T06-06-54,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,4,05/07/2022 12:00:00 AM
2022-05-11T06-51-12,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-14T08-49-14,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-17T05-27-38,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-18T05-40-23,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-19T05-25-31,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-20T05-59-40,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-21T05-54-21,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-22T09-07-10,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-26T07-59-29,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-26T07-59-29,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-26T07-59-29,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-27T05-48-57,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-05-29T05-31-58,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-05-30T05-32-42,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-05-31T08-56-01,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-06-01T05-37-50,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-06-02T07-54-10,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-06-03T08-50-11,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,12,05/28/2022 12:00:00 AM
2022-06-04T19-11-08,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-10T04-15-36,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-11T04-15-14,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-12T04-15-15,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-13T04-15-40,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-14T04-15-16,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-15T04-15-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-16T04-15-45,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-17T04-15-27,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-18T04-15-18,97206,GOLDEN DAWN CLINIC PHARMACY,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
