2022-02-16T18-37-01,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/10/2022 12:00:00 AM,,48,,
2022-04-18T05-31-10,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,34,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,34,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,34,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,34,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,34,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,33,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,33,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,31,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,31,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,30,05/13/2022 12:00:00 AM
