2022-02-18T16-04-21,28801,The Family Health Centers PA,02/17/2022 12:00:00 AM,,24,,
2022-05-23T07-42-39,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
2022-05-24T05-46-03,28801,The Family Health Centers PA,NLP,NLP,NLP,47,05/13/2022 12:00:00 AM
