2022-02-18T16-04-21,31602,SOUTH GEORGIA MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-24T05-46-03,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
2022-05-25T05-39-27,31602,SOUTH GEORGIA MEDICAL CENTER,NLP,NLP,NLP,0,02/11/2022 12:00:00 AM
