2022-02-16T08-23-53,35243,FLEXCARE INFUSION CENTER,02/15/2022 12:00:00 AM,,0,,02/15/2022 12:00:00 AM
2022-06-16T04-15-45,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,38,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,38,06/15/2022 12:00:00 AM
2022-06-18T04-15-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/08/2022 12:00:00 AM
2022-07-13T04-15-22,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/12/2022 12:00:00 AM
2022-07-15T04-15-46,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,36,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,34,07/21/2022 12:00:00 AM
2022-07-23T04-15-20,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,34,07/21/2022 12:00:00 AM
