2022-03-08T14-40-56,19460,Gateway Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-04-13T11-55-39,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-20T05-27-37,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-21T05-29-54,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-22T05-26-18,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-23T05-25-10,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-24T05-22-24,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-25T05-22-33,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-26T05-20-54,19460,Gateway Pharmacy,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-27T05-23-49,19460,Gateway Pharmacy,NLP,NLP,NLP,66,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,19460,Gateway Pharmacy,NLP,NLP,NLP,64,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-07T05-45-31,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-08T10-02-59,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-09T05-08-14,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-10T06-06-54,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-11T06-51-12,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-12T07-16-49,19460,Gateway Pharmacy,NLP,NLP,NLP,58,04/29/2022 12:00:00 AM
2022-05-13T06-07-31,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-18T05-40-23,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-19T05-25-31,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-20T05-59-40,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-21T05-54-21,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-22T09-07-10,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-23T07-42-39,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-24T05-46-03,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-25T05-39-27,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-26T07-59-29,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-26T07-59-29,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-26T07-59-29,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-27T05-48-57,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-28T05-34-18,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-29T05-31-58,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-30T05-32-42,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-31T08-56-01,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-01T05-37-50,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-02T07-54-10,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-03T08-50-11,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-04T19-11-08,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-05T08-48-25,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-06T06-32-51,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-07T05-36-41,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-08T05-42-02,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-09T04-15-20,19460,Gateway Pharmacy,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-06-10T04-15-36,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-15T04-15-27,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-16T04-15-45,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-17T04-15-27,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-18T04-15-18,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-19T04-15-29,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
2022-06-20T04-15-58,19460,Gateway Pharmacy,NLP,NLP,NLP,46,06/09/2022 12:00:00 AM
